STATE,COUNTY,LAY2022FAC,LAY2022NUM,BRL2022FAC,BRL2022NUM,DRY2022FAC,DRY2022NUM,COW2022FAC,COW2022NUM,HOG2022FAC,HOG2022NUM
Arizona,Mohave,,,,,,,,,,
Arizona,Navajo,,,,,,,,,1.0,1000.0
Arizona,Pima,,,,,,,,,1.0,1000.0
Arizona,Pinal,,,,,14.0,-47.0,4.0,-47.0,,
Arizona,SantaCruz,,,,,,,,,,
Arizona,Yavapai,,,,,,,,,,
Arizona,Yuma,,,,,1.0,-47.0,1.0,-47.0,,
Arkansas,Arkansas,4.0,752251.0,834.0,135267869.0,,,,,27.0,131471.0
Arkansas,Arkansas,,,,,,,,,,
Arkansas,Ashley,,,,,,,,,,
Arkansas,Baxter,,,,,,,,,,
Arkansas,Benton,1.0,188063.0,82.0,13299719.0,,,,,1.0,-47.0
Arkansas,Boone,,,12.0,1946300.0,,,,,,
Arkansas,Bradley,,,5.0,810958.0,,,,,,
Arkansas,Calhoun,,,,,,,,,,
Arkansas,Carroll,1.0,188063.0,31.0,5027942.0,,,,,,
Arkansas,Chicot,,,,,,,,,,
Arkansas,Clark,,,,,,,,,,
Arkansas,Clay,,,21.0,3406025.0,,,,,,
Arkansas,Cleburne,,,1.0,162192.0,,,,,,
Arkansas,Cleveland,,,13.0,2108492.0,,,,,,
Arkansas,Columbia,,,4.0,648767.0,,,,,,
Arkansas,Conway,,,31.0,5027942.0,,,,,4.0,13200.0
Arkansas,Craighead,,,,,,,,,,
Arkansas,Crawford,,,,,,,,,,
Arkansas,Crittenden,,,,,,,,,,
Arkansas,Cross,,,,,,,,,,
Arkansas,Dallas,,,,,,,,,,
Arkansas,Desha,,,,,,,,,,
Arkansas,Drew,,,4.0,648767.0,,,,,,
Arkansas,Faulkner,,,,,,,,,,
Arkansas,Franklin,,,14.0,2270684.0,,,,,,
Arkansas,Fulton,,,3.0,486575.0,,,,,,
Arkansas,Garland,,,,,,,,,,
Arkansas,Grant,,,,,,,,,,
Arkansas,Greene,,,,,,,,,,
Arkansas,Hempstead,,,44.0,7136434.0,,,,,3.0,9600.0
Arkansas,HotSpring,,,,,,,,,,
Arkansas,Howard,,,31.0,5027942.0,,,,,4.0,56601.0
Arkansas,Independence,,,21.0,3406025.0,,,,,,
Arkansas,Izard,,,11.0,1784109.0,,,,,1.0,-47.0
Arkansas,Jackson,,,,,,,,,,
Arkansas,Jefferson,,,1.0,162192.0,,,,,,
Arkansas,Johnson,,,14.0,2270684.0,,,,,,
Arkansas,Lafayette,,,10.0,1621917.0,,,,,,
Arkansas,Lawrence,,,14.0,2270684.0,,,,,,
Arkansas,Lee,,,,,,,,,,
Arkansas,Lincoln,,,14.0,2270684.0,,,,,,
Arkansas,LittleRiver,,,9.0,1459725.0,,,,,,
Arkansas,Logan,,,22.0,3568217.0,,,,,,
Arkansas,Lonoke,,,,,,,,,,
Arkansas,Madison,,,44.0,7136434.0,,,,,,
Arkansas,Marion,,,,,,,,,,
Arkansas,Miller,,,1.0,162192.0,,,,,,
Arkansas,Mississippi,,,,,,,,,,
Arkansas,Monroe,,,,,,,,,,
Arkansas,Montgomery,,,,,,,,,,
Arkansas,Nevada,,,10.0,1621917.0,,,,,,
Arkansas,Newton,,,1.0,162192.0,,,,,,
Arkansas,Ouachita,,,2.0,324383.0,,,,,,
Arkansas,Perry,,,3.0,486575.0,,,,,,
Arkansas,Phillips,,,,,,,,,,
Arkansas,Pike,,,14.0,2270684.0,,,,,2.0,-47.0
Arkansas,Poinsett,,,,,,,,,,
Arkansas,Polk,,,20.0,3243834.0,,,,,1.0,-47.0
Arkansas,Pope,,,20.0,3243834.0,,,,,3.0,5200.0
Arkansas,Prairie,,,,,,,,,,
Arkansas,Pulaski,,,,,,,,,,
Arkansas,Randolph,1.0,188063.0,27.0,4379176.0,,,,,,
Arkansas,St.Francis,,,,,,,,,,
Arkansas,Saline,,,,,,,,,,
Arkansas,Scott,,,29.0,4703559.0,,,,,,
Arkansas,Searcy,,,1.0,162192.0,,,,,,
Arkansas,Sebastian,,,16.0,2595067.0,,,,,,
Arkansas,Sevier,,,50.0,8109584.0,,,,,4.0,-47.0
Arkansas,Sharp,,,35.0,5676709.0,,,,,,
Arkansas,Stone,,,10.0,1621917.0,,,,,,
Arkansas,Union,,,3.0,486575.0,,,,,,
Arkansas,VanBuren,,,1.0,162192.0,,,,,,
Arkansas,Washington,,,71.0,11515610.0,,,,,2.0,-47.0
Arkansas,White,1.0,188063.0,23.0,3730409.0,,,,,,
Arkansas,Woodruff,,,,,,,,,,
Arkansas,Yell,,,41.0,6649859.0,,,,,2.0,-47.0
California,California,26.0,10449897.0,25.0,37809195.0,723.0,1657610.0,24.0,511641.0,6.0,57011.0
California,Alameda,,,,,,,,,,
California,Alpine,,,,,,,,,,
California,Amador,,,,,,,,,,
California,Butte,,,,,,,,,1.0,-47.0
California,Calaveras,,,,,,,,,,
California,Colusa,,,,,,,,,,
California,ContraCosta,,,,,,,,,,
California,DelNorte,,,,,1.0,-47.0,,,,
California,ElDorado,,,,,,,,,,
California,Fresno,,,7.0,10586575.0,38.0,110911.0,2.0,-47.0,1.0,-47.0
California,Glenn,,,,,9.0,11805.0,,,,
California,Humboldt,,,,,2.0,-47.0,,,,
California,Imperial,,,,,4.0,13921.0,13.0,345271.0,,
California,Inyo,,,,,,,,,,
California,Kern,2.0,803838.0,,,36.0,129189.0,3.0,-47.0,,
California,Kings,,,,,68.0,150013.0,1.0,-47.0,,
California,Lake,,,,,,,,,,
California,Lassen,,,,,,,,,,
California,LosAngeles,,,,,1.0,-47.0,,,,
California,Madera,1.0,401919.0,1.0,1512368.0,23.0,78246.0,,,,
California,Marin,,,,,1.0,-47.0,,,,
California,Mariposa,,,,,,,,,,
California,Mendocino,,,,,,,,,,
California,Merced,6.0,2411515.0,1.0,1512368.0,142.0,286662.0,,,,
California,Modoc,,,,,,,,,,
California,Mono,,,,,,,,,,
California,Monterey,,,,,1.0,-47.0,,,,
California,Napa,,,,,,,,,,
California,Nevada,,,,,,,,,,
California,Orange,,,,,,,,,,
California,Placer,,,1.0,1512368.0,,,,,,
California,Plumas,,,,,,,,,,
California,Riverside,2.0,803838.0,,,8.0,13364.0,,,,
California,Sacramento,,,2.0,3024736.0,9.0,-47.0,,,,
California,SanBenito,,,,,,,,,,
California,SanBernardino,3.0,1205757.0,,,15.0,52330.0,2.0,-47.0,,
California,SanDiego,1.0,401919.0,,,3.0,5480.0,,,1.0,-47.0
California,SanFrancisco,,,,,,,,,,
California,SanJoaquin,4.0,1607676.0,,,63.0,132672.0,,,,
California,SanLuisObispo,,,,,,,,,,
California,SanMateo,,,,,,,,,,
California,SantaBarbara,,,,,1.0,-47.0,,,,
California,SantaClara,,,,,,,,,,
California,SantaCruz,1.0,401919.0,,,,,,,,
California,Shasta,,,,,,,,,,
California,Sierra,,,,,,,,,,
California,Siskiyou,,,,,,,1.0,-47.0,,
California,Solano,,,,,1.0,-47.0,,,,
California,Sonoma,3.0,1205757.0,2.0,3024736.0,17.0,13085.0,,,,
California,Stanislaus,3.0,1205757.0,8.0,12098942.0,101.0,150073.0,1.0,-47.0,2.0,-47.0
California,Sutter,,,,,,,,,,
California,Tehama,,,,,,,1.0,-47.0,,
California,Trinity,,,,,,,,,,
California,Tulare,,,3.0,4537103.0,177.0,479214.0,,,1.0,-47.0
California,Tuolumne,,,,,,,,,,
California,Ventura,,,,,,,,,,
California,Yolo,,,,,,,,,,
California,Yuba,,,,,2.0,-47.0,,,,
Colorado,Colorado,3.0,1200556.0,1.0,119505.0,64.0,193190.0,82.0,1058828.0,12.0,500823.0
Colorado,Adams,,,,,2.0,-47.0,,,1.0,-47.0
Colorado,Alamosa,,,,,,,,,,
Colorado,Arapahoe,,,,,,,,,,
Colorado,Archuleta,,,,,,,,,,
Colorado,Baca,,,,,,,1.0,-47.0,,
Colorado,Bent,,,,,,,,,1.0,-47.0
Colorado,Boulder,,,,,,,,,,
Colorado,Broomfield,,,,,,,,,,
Colorado,Chaffee,,,,,,,,,,
Colorado,Cheyenne,,,,,,,,,,
Colorado,ClearCreek,,,,,,,,,,
Colorado,Conejos,,,,,,,,,,
Colorado,Costilla,,,,,,,,,,
Colorado,Crowley,,,,,,,1.0,-47.0,,
Colorado,Custer,,,,,,,,,,
Colorado,Delta,,,,,1.0,-47.0,,,,
Colorado,Denver,,,,,,,,,,
Colorado,Dolores,,,,,,,,,,
Colorado,Douglas,,,,,,,,,,
Colorado,Eagle,,,,,,,,,,
Colorado,Elbert,,,,,,,,,,
Colorado,ElPaso,,,,,,,,,,
Colorado,Fremont,,,,,,,,,,
Colorado,Garfield,,,,,,,,,,
Colorado,Gilpin,,,,,,,,,,
Colorado,Grand,,,,,,,,,,
Colorado,Gunnison,,,,,,,,,,
Colorado,Hinsdale,,,,,,,,,,
Colorado,Huerfano,,,,,1.0,-47.0,,,,
Colorado,Jackson,,,,,,,,,,
Colorado,Jefferson,,,,,,,,,,
Colorado,Kiowa,,,,,,,,,1.0,-47.0
Colorado,KitCarson,,,,,1.0,-47.0,15.0,185570.0,1.0,-47.0
Colorado,Lake,,,,,,,,,,
Colorado,LaPlata,,,,,,,,,,
Colorado,Larimer,,,,,5.0,11547.0,2.0,-47.0,,
Colorado,LasAnimas,,,,,,,,,,
Colorado,Lincoln,,,,,,,,,,
Colorado,Logan,,,,,,,11.0,130070.0,1.0,-47.0
Colorado,Mesa,1.0,400185.0,,,,,1.0,-47.0,,
Colorado,Mineral,,,,,,,,,,
Colorado,Moffat,,,,,,,,,,
Colorado,Montezuma,,,,,,,,,,
Colorado,Montrose,1.0,400185.0,,,1.0,-47.0,,,,
Colorado,Morgan,,,,,8.0,38232.0,6.0,118793.0,,
Colorado,Otero,,,,,,,3.0,-47.0,,
Colorado,Ouray,,,,,,,,,,
Colorado,Park,,,,,,,,,,
Colorado,Phillips,,,,,1.0,-47.0,3.0,14570.0,1.0,-47.0
Colorado,Pitkin,,,,,,,,,,
Colorado,Prowers,,,,,,,6.0,85528.0,2.0,-47.0
Colorado,Pueblo,,,,,,,,,,
Colorado,RioBlanco,,,,,,,,,,
Colorado,RioGrande,,,,,,,,,,
Colorado,Routt,,,,,,,,,,
Colorado,Saguache,,,,,,,,,,
Colorado,SanJuan,,,,,,,,,,
Colorado,SanMiguel,,,,,,,,,,
Colorado,Sedgwick,,,,,,,2.0,-47.0,1.0,-47.0
Colorado,Summit,,,,,,,,,,
Colorado,Teller,,,,,,,,,,
Colorado,Washington,,,,,1.0,-47.0,3.0,-47.0,1.0,-47.0
Colorado,Weld,1.0,400185.0,1.0,119505.0,42.0,129634.0,16.0,207676.0,,
Colorado,Yuma,,,,,1.0,-47.0,12.0,171280.0,2.0,-47.0
Connecticut,Connecticut,1.0,100000.0,,,6.0,9344.0,,,,
Connecticut,Fairfield,,,,,,,,,,
Connecticut,Hartford,,,,,,,,,,
Connecticut,Litchfield,,,,,1.0,-47.0,,,,
Connecticut,Middlesex,,,,,,,,,,
Connecticut,NewHaven,,,,,,,,,,
Connecticut,NewLondon,1.0,100000.0,,,3.0,3345.0,,,,
Connecticut,Tolland,,,,,1.0,-47.0,,,,
Connecticut,Windham,,,,,1.0,-47.0,,,,
Delaware,Delaware,1.0,100000.0,177.0,26051184.0,,,1.0,500.0,,
Delaware,Kent,,,58.0,8536546.0,,,1.0,500.0,,
Delaware,NewCastle,1.0,100000.0,6.0,883091.0,,,,,,
Delaware,Sussex,,,113.0,16631547.0,,,,,,
Florida,Florida,10.0,5253222.0,58.0,9987240.0,37.0,90224.0,,,,
Florida,Alachua,,,,,,,,,,
Florida,Baker,,,,,,,,,,
Florida,Bay,,,,,,,,,,
Florida,Bradford,,,,,,,,,,
Florida,Brevard,,,,,,,,,,
Florida,Broward,,,,,,,,,,
Florida,Calhoun,,,,,,,,,,
Florida,Charlotte,,,,,,,,,,
Florida,Citrus,,,,,1.0,-47.0,,,,
Florida,Clay,,,,,,,,,,
Florida,Collier,,,,,,,,,,
Florida,Columbia,1.0,525322.0,1.0,172194.0,,,,,,
Florida,DeSoto,,,,,1.0,-47.0,,,,
Florida,Dixie,,,,,,,,,,
Florida,Duval,,,,,,,,,,
Florida,Escambia,,,,,,,,,,
Florida,Flagler,,,,,,,,,,
Florida,Franklin,,,,,,,,,,
Florida,Gadsden,1.0,525322.0,,,,,,,,
Florida,Gilchrist,,,,,4.0,19053.0,,,,
Florida,Glades,,,,,1.0,-47.0,,,,
Florida,Gulf,,,,,,,,,,
Florida,Hamilton,,,3.0,516581.0,,,,,,
Florida,Hardee,,,,,3.0,-47.0,,,,
Florida,Hendry,,,,,,,,,,
Florida,Hernando,,,,,,,,,,
Florida,Highlands,,,,,2.0,-47.0,,,,
Florida,Hillsborough,,,,,,,,,,
Florida,Holmes,,,,,,,,,,
Florida,IndianRiver,,,,,,,,,,
Florida,Jackson,,,3.0,516581.0,1.0,-47.0,,,,
Florida,Jefferson,,,,,2.0,-47.0,,,,
Florida,Lafayette,,,12.0,2066326.0,3.0,3150.0,,,,
Florida,Lake,1.0,525322.0,,,,,,,,
Florida,Lee,,,,,,,,,,
Florida,Leon,,,,,,,,,,
Florida,Levy,,,,,,,,,,
Florida,Liberty,,,,,,,,,,
Florida,Madison,,,7.0,1205357.0,2.0,-47.0,,,,
Florida,Manatee,,,,,2.0,-47.0,,,,
Florida,Marion,,,,,,,,,,
Florida,Martin,,,,,,,,,,
Florida,Miami-Dade,,,,,,,,,,
Florida,Monroe,,,,,,,,,,
Florida,Nassau,,,,,,,,,,
Florida,Okaloosa,,,,,,,,,,
Florida,Okeechobee,1.0,525322.0,,,9.0,30843.0,,,,
Florida,Orange,,,,,,,,,,
Florida,Osceola,,,,,,,,,,
Florida,PalmBeach,,,,,,,,,,
Florida,Pasco,4.0,2101289.0,,,,,,,,
Florida,Pinellas,,,,,,,,,,
Florida,Polk,1.0,525322.0,,,,,,,,
Florida,Putnam,,,,,1.0,-47.0,,,,
Florida,St.Johns,,,,,,,,,,
Florida,St.Lucie,,,,,,,,,,
Florida,SantaRosa,,,,,,,,,,
Florida,Sarasota,,,,,,,,,,
Florida,Seminole,,,,,,,,,,
Florida,Sumter,1.0,525322.0,,,1.0,-47.0,,,,
Florida,Suwannee,,,23.0,3960457.0,4.0,-47.0,,,,
Florida,Taylor,,,5.0,860969.0,,,,,,
Florida,Union,,,,,,,,,,
Florida,Volusia,,,,,,,,,,
Florida,Wakulla,,,,,,,,,,
Florida,Walton,,,4.0,688775.0,,,,,,
Florida,Washington,,,,,,,,,,
Georgia,Georgia,13.0,3522583.0,1196.0,202792876.0,32.0,60282.0,,,11.0,29522.0
Georgia,Appling,,,21.0,3560744.0,,,,,,
Georgia,Atkinson,,,7.0,1186915.0,,,,,,
Georgia,Bacon,1.0,270968.0,3.0,508678.0,,,,,,
Georgia,Baker,,,2.0,339119.0,,,,,,
Georgia,Baldwin,,,,,,,,,,
Georgia,Banks,,,33.0,5595456.0,,,,,,
Georgia,Barrow,,,7.0,1186915.0,,,,,,
Georgia,Bartow,,,13.0,2204270.0,,,,,,
Georgia,BenHill,,,2.0,339119.0,,,,,,
Georgia,Berrien,,,5.0,847796.0,,,,,1.0,-47.0
Georgia,Bibb,,,4.0,678237.0,,,,,,
Georgia,Bleckley,,,,,,,,,,
Georgia,Brantley,2.0,541936.0,,,,,,,,
Georgia,Brooks,,,1.0,169559.0,3.0,7007.0,,,1.0,-47.0
Georgia,Bryan,,,,,,,,,,
Georgia,Bulloch,,,5.0,847796.0,,,,,,
Georgia,Burke,,,,,5.0,6715.0,,,,
Georgia,Butts,,,,,,,,,,
Georgia,Calhoun,,,2.0,339119.0,,,,,,
Georgia,Camden,,,,,,,,,,
Georgia,Candler,,,,,,,,,2.0,-47.0
Georgia,Carroll,,,47.0,7969285.0,,,,,,
Georgia,Catoosa,,,8.0,1356474.0,,,,,,
Georgia,Charlton,,,,,,,,,,
Georgia,Chatham,,,,,,,,,,
Georgia,Chattahoochee,,,2.0,339119.0,,,,,,
Georgia,Chattooga,,,9.0,1526033.0,,,,,,
Georgia,Cherokee,,,,,,,,,,
Georgia,Clarke,,,1.0,169559.0,,,,,,
Georgia,Clay,,,,,,,,,1.0,-47.0
Georgia,Clayton,,,,,,,,,,
Georgia,Clinch,,,,,,,,,,
Georgia,Cobb,,,,,,,,,,
Georgia,Coffee,,,21.0,3560744.0,,,,,2.0,-47.0
Georgia,Colquitt,,,30.0,5086778.0,,,,,,
Georgia,Columbia,,,,,,,,,,
Georgia,Cook,,,7.0,1186915.0,,,,,,
Georgia,Coweta,,,,,,,,,,
Georgia,Crawford,,,18.0,3052067.0,,,,,,
Georgia,Crisp,,,1.0,169559.0,,,,,,
Georgia,Dade,,,9.0,1526033.0,,,,,,
Georgia,Dawson,,,28.0,4747659.0,,,,,,
Georgia,Decatur,,,5.0,847796.0,1.0,-47.0,,,,
Georgia,DeKalb,,,,,,,,,,
Georgia,Dodge,,,1.0,169559.0,,,,,,
Georgia,Dooly,,,4.0,678237.0,,,,,,
Georgia,Dougherty,,,,,,,,,,
Georgia,Douglas,,,,,,,,,,
Georgia,Early,,,,,,,,,,
Georgia,Echols,,,,,,,,,,
Georgia,Effingham,,,,,,,,,,
Georgia,Elbert,,,32.0,5425896.0,,,,,,
Georgia,Emanuel,,,,,,,,,,
Georgia,Evans,,,2.0,339119.0,,,,,,
Georgia,Fannin,,,2.0,339119.0,,,,,,
Georgia,Fayette,,,,,,,,,,
Georgia,Floyd,,,12.0,2034711.0,,,,,,
Georgia,Forsyth,,,5.0,847796.0,,,,,,
Georgia,Franklin,,,75.0,12716945.0,,,,,,
Georgia,Fulton,,,,,,,,,,
Georgia,Gilmer,,,49.0,8308404.0,,,,,,
Georgia,Glascock,,,,,,,,,,
Georgia,Glynn,,,,,,,,,,
Georgia,Gordon,,,52.0,8817082.0,,,,,,
Georgia,Grady,,,14.0,2373830.0,1.0,-47.0,,,,
Georgia,Greene,,,9.0,1526033.0,1.0,-47.0,,,,
Georgia,Gwinnett,,,,,,,,,,
Georgia,Habersham,,,16.0,2712948.0,,,,,,
Georgia,Hall,1.0,270968.0,13.0,2204270.0,,,,,,
Georgia,Hancock,,,,,,,,,,
Georgia,Haralson,,,12.0,2034711.0,,,,,,
Georgia,Harris,,,,,,,,,,
Georgia,Hart,1.0,270968.0,53.0,8986641.0,,,,,1.0,-47.0
Georgia,Heard,,,13.0,2204270.0,,,,,,
Georgia,Henry,,,,,,,,,,
Georgia,Houston,,,1.0,169559.0,2.0,-47.0,,,,
Georgia,Irwin,,,3.0,508678.0,,,,,,
Georgia,Jackson,2.0,541936.0,38.0,6443252.0,,,,,,
Georgia,Jasper,3.0,812904.0,1.0,169559.0,,,,,,
Georgia,JeffDavis,,,2.0,339119.0,,,,,,
Georgia,Jefferson,,,,,1.0,-47.0,,,,
Georgia,Jenkins,,,,,,,,,,
Georgia,Johnson,,,,,,,,,,
Georgia,Jones,,,4.0,678237.0,,,,,,
Georgia,Lamar,,,7.0,1186915.0,,,,,,
Georgia,Lanier,,,,,,,,,,
Georgia,Laurens,,,,,,,,,,
Georgia,Lee,,,,,2.0,-47.0,,,,
Georgia,Liberty,,,,,,,,,,
Georgia,Lincoln,,,,,,,,,,
Georgia,Long,,,2.0,339119.0,,,,,,
Georgia,Lowndes,,,,,,,,,,
Georgia,Lumpkin,,,16.0,2712948.0,,,,,,
Georgia,McDuffie,,,,,,,,,,
Georgia,McIntosh,,,,,,,,,,
Georgia,Macon,,,30.0,5086778.0,2.0,-47.0,,,,
Georgia,Madison,,,64.0,10851793.0,1.0,-47.0,,,,
Georgia,Marion,,,2.0,339119.0,,,,,,
Georgia,Meriwether,,,,,,,,,,
Georgia,Miller,,,1.0,169559.0,,,,,,
Georgia,Mitchell,,,13.0,2204270.0,1.0,-47.0,,,,
Georgia,Monroe,,,6.0,1017356.0,,,,,,
Georgia,Montgomery,1.0,270968.0,,,,,,,,
Georgia,Morgan,1.0,270968.0,11.0,1865152.0,2.0,-47.0,,,,
Georgia,Murray,,,37.0,6273693.0,,,,,,
Georgia,Muscogee,,,,,,,,,,
Georgia,Newton,,,,,,,,,,
Georgia,Oconee,,,3.0,508678.0,,,,,,
Georgia,Oglethorpe,,,55.0,9325759.0,1.0,-47.0,,,2.0,-47.0
Georgia,Paulding,,,1.0,169559.0,,,,,,
Georgia,Peach,,,1.0,169559.0,,,,,,
Georgia,Pickens,,,8.0,1356474.0,,,,,,
Georgia,Pierce,,,2.0,339119.0,,,,,,
Georgia,Pike,,,1.0,169559.0,,,,,,
Georgia,Polk,,,9.0,1526033.0,,,,,,
Georgia,Pulaski,,,5.0,847796.0,,,,,,
Georgia,Putnam,,,,,2.0,-47.0,,,,
Georgia,Quitman,,,,,,,,,,
Georgia,Rabun,,,,,,,,,,
Georgia,Randolph,,,,,,,,,,
Georgia,Richmond,,,,,,,,,,
Georgia,Rockdale,,,,,,,,,,
Georgia,Schley,,,2.0,339119.0,,,,,,
Georgia,Screven,,,,,,,,,,
Georgia,Seminole,,,,,,,,,,
Georgia,Spalding,,,1.0,169559.0,,,,,,
Georgia,Stephens,,,5.0,847796.0,,,,,,
Georgia,Stewart,,,,,,,,,,
Georgia,Sumter,,,7.0,1186915.0,1.0,-47.0,,,,
Georgia,Talbot,,,,,,,,,,
Georgia,Taliaferro,,,11.0,1865152.0,,,,,,
Georgia,Tattnall,,,77.0,13056063.0,,,,,1.0,-47.0
Georgia,Taylor,,,9.0,1526033.0,,,,,,
Georgia,Telfair,,,,,,,,,,
Georgia,Terrell,,,,,,,,,,
Georgia,Thomas,,,4.0,678237.0,3.0,2295.0,,,,
Georgia,Tift,,,,,,,,,,
Georgia,Toombs,,,10.0,1695593.0,,,,,,
Georgia,Towns,,,,,,,,,,
Georgia,Treutlen,,,,,,,,,,
Georgia,Troup,,,,,,,,,,
Georgia,Turner,,,1.0,169559.0,,,,,,
Georgia,Twiggs,,,,,,,,,,
Georgia,Union,,,,,,,,,,
Georgia,Upson,,,5.0,847796.0,,,,,,
Georgia,Walker,,,27.0,4578100.0,,,,,,
Georgia,Walton,,,2.0,339119.0,,,,,,
Georgia,Ware,,,2.0,339119.0,,,,,,
Georgia,Warren,,,,,,,,,,
Georgia,Washington,,,,,,,,,,
Georgia,Wayne,1.0,270968.0,,,,,,,,
Georgia,Webster,,,,,,,,,,
Georgia,Wheeler,,,,,,,,,,
Georgia,White,,,14.0,2373830.0,,,,,,
Georgia,Whitfield,,,13.0,2204270.0,,,,,,
Georgia,Wilcox,,,8.0,1356474.0,3.0,2115.0,,,,
Georgia,Wilkes,,,17.0,2882507.0,,,,,,
Georgia,Wilkinson,,,1.0,169559.0,,,,,,
Georgia,Worth,,,2.0,339119.0,,,,,,
Idaho,Idaho,2.0,472509.0,,,167.0,638066.0,30.0,324592.0,3.0,12994.0
Idaho,Ada,,,,,10.0,18362.0,1.0,-47.0,1.0,-47.0
Idaho,Adams,,,,,,,,,,
Idaho,Bannock,,,,,,,,,,
Idaho,BearLake,,,,,,,,,,
Idaho,Benewah,,,,,,,,,,
Idaho,Bingham,,,,,3.0,-47.0,1.0,-47.0,,
Idaho,Blaine,,,,,,,,,,
Idaho,Boise,,,,,,,,,,
Idaho,Bonner,,,,,,,,,,
Idaho,Bonneville,,,,,,,1.0,-47.0,,
Idaho,Boundary,,,,,,,,,,
Idaho,Butte,,,,,,,,,,
Idaho,Camas,,,,,,,,,,
Idaho,Canyon,,,,,21.0,42489.0,,,,
