"","state","county","cattle.farms","cattle.count","hog.farm","hog.count","layer.farm","layer.count","broiler.farm","broiler.count","sheep.farm","sheep.count"
"37","Alabama","Jackson",600,34444,16,695,101,140896,65,27193468,28,765
"38","Alabama","Jefferson",148,4051,29,293,84,2203,7,1200069,10,121
"39","Alabama","Lamar",121,4809,6,65,29,702,2,-47,8,292
"40","Alabama","Lauderdale",525,21765,32,273,141,86046,10,5457500,45,1173
"41","Alabama","Lawrence",573,26753,14,75,82,182321,96,39946260,28,848
"42","Alabama","Lee",147,7832,9,-47,70,1972,8,146,6,545
"43","Alabama","Limestone",443,24248,31,514,104,48195,21,10637727,45,885
"44","Alabama","Lowndes",236,36087,4,116,20,323,21,13760459,7,303
"45","Alabama","Macon",134,8334,7,34,33,1004,3,264,8,144
"46","Alabama","Madison",315,13134,32,296,125,3479,17,623,31,939
"47","Alabama","Marengo",234,27945,3,-47,36,1966,9,-47,8,68
"48","Alabama","Marion",271,13007,3,-47,53,833,63,37454800,5,31
"49","Alabama","Marshall",736,38476,14,183,109,366260,136,73280317,55,1532
"50","Alabama","Mobile",283,17207,17,118,115,4183,6,48,2,-47
"51","Alabama","Monroe",208,14203,2,-47,25,722,5,-47,14,200
"52","Alabama","Montgomery",265,38527,2,-47,31,566,11,3211717,5,51
"53","Alabama","Morgan",542,28032,37,325,161,-47,57,21684012,57,9209
"54","Alabama","Perry",173,15564,1,-47,29,814,NA,NA,7,176
"55","Alabama","Pickens",202,17284,9,-47,48,104287,38,19936041,10,286
"56","Alabama","Pike",265,22628,12,38,29,-47,89,58485100,2,-47
"57","Alabama","Randolph",385,28776,4,10,74,222443,72,34998910,15,264
"58","Alabama","Russell",127,12740,10,48,40,1046,9,2941078,8,134
"59","Alabama","St. Clair",289,12590,20,49,106,2313,55,26481318,17,228
"60","Alabama","Shelby",118,4786,8,165,71,1551,6,78,11,612
"61","Alabama","Sumter",208,21549,5,3678,12,339,NA,NA,8,322
"62","Alabama","Talladega",259,15468,12,64,61,2188,17,3504170,16,534
"63","Alabama","Tallapoosa",172,8367,9,61,43,1092,10,3868900,6,156
"64","Alabama","Tuscaloosa",167,6805,6,129,71,2164,22,6542365,10,-47
"65","Alabama","Walker",186,6414,24,155,107,12037,21,12124182,7,256
"66","Alabama","Washington",215,8126,10,143,64,97816,7,-47,32,413
"67","Alabama","Wilcox",165,13779,21,408,22,904,NA,NA,10,88
"68","Alabama","Winston",253,8641,4,42,40,105045,14,1814766,10,224
"69","Arizona","Arizona",5864,997842,541,-47,2147,-47,43,14754,7047,147195
"70","Arizona","Apache",1738,37055,238,580,523,4738,3,150,3579,69090
"71","Arizona","Cochise",343,162200,38,843,182,6049,10,-47,28,1167
"72","Arizona","Coconino",1017,41999,56,173,286,2823,NA,NA,1184,24939
"73","Arizona","Gila",97,15170,6,32,38,1559,3,129,2,-47
"74","Arizona","Graham",226,15201,15,339,34,489,NA,NA,5,93
"75","Arizona","Greenlee",56,2675,6,48,16,186,NA,NA,6,546
"76","Arizona","La Paz",19,NA,NA,NA,3,-47,NA,NA,3,30
"77","Arizona","Maricopa",293,211891,40,733,274,-47,11,553,44,2958
"78","Arizona","Mohave",148,19503,9,134,37,1597,1,-47,6,160
"79","Arizona","Navajo",1241,20363,70,-47,363,3842,NA,NA,2082,39927
"80","Arizona","Pima",127,18114,16,-47,91,2521,2,-47,22,660
"81","Arizona","Pinal",197,273261,18,193,107,2496,4,-47,43,-47
"82","Arizona","Santa Cruz",95,10409,1,-47,23,855,NA,NA,2,-47
"83","Arizona","Yavapai",245,35229,23,159,132,4288,7,-47,36,516
"84","Arizona","Yuma",22,NA,5,192,38,1238,2,-47,5,260
"85","Arkansas","Arkansas",20924,1588074,1053,145376,4525,14421929,1924,1045855386,1140,32485
"86","Arkansas","Arkansas",46,1729,1,-47,10,192,1,-47,NA,NA
"87","Arkansas","Ashley",98,2779,4,11,60,245346,NA,NA,10,133
"88","Arkansas","Baxter",289,17440,10,32,63,1456,1,-47,9,138
"89","Arkansas","Benton",1091,75474,72,-47,293,1469123,116,122249191,83,2034
"90","Arkansas","Boone",750,58619,33,534,139,290424,35,13546986,53,2532
"91","Arkansas","Bradley",84,5042,3,7,28,547270,5,3440000,3,62
"92","Arkansas","Calhoun",65,3406,6,54,21,263,1,-47,NA,NA
"93","Arkansas","Carroll",657,75392,28,169,120,1932126,90,43589392,40,1243
"94","Arkansas","Chicot",29,3443,NA,NA,8,48,NA,NA,5,200
"95","Arkansas","Clark",194,7852,9,143,42,-47,8,2160200,2,-47
"96","Arkansas","Clay",120,7303,10,47,15,251,21,17494400,17,383
"97","Arkansas","Cleburne",363,23767,9,58,87,-47,23,5339906,11,251
"98","Arkansas","Cleveland",86,4252,4,12,11,100436,39,17500799,10,184
"99","Arkansas","Columbia",170,9033,12,71,30,41550,8,3713200,9,214
"100","Arkansas","Conway",398,25693,27,14010,75,-47,68,31143660,12,559
"101","Arkansas","Craighead",105,3325,6,124,28,702,NA,NA,18,461
"102","Arkansas","Crawford",463,29635,30,187,116,2102,20,5089444,15,308
"103","Arkansas","Crittenden",19,879,NA,NA,24,838,NA,NA,1,-47
"104","Arkansas","Cross",45,1762,1,-47,17,338,1,-47,3,30
"105","Arkansas","Dallas",55,1587,2,-47,15,272,NA,NA,3,36
"106","Arkansas","Desha",18,385,5,65,8,95,NA,NA,2,-47
"107","Arkansas","Drew",135,11308,4,16,41,169082,6,3708152,8,289
"108","Arkansas","Faulkner",687,32726,50,329,171,4121,6,149,59,849
"109","Arkansas","Franklin",508,50470,13,181,46,162541,51,20866571,11,245
"110","Arkansas","Fulton",515,49992,15,129,114,66176,3,3240000,45,1912
"111","Arkansas","Garland",165,4416,20,85,69,-47,NA,NA,5,10
"112","Arkansas","Grant",148,13467,27,264,66,1289,4,-47,9,21
"113","Arkansas","Greene",214,6323,10,64,67,2059,1,-47,26,480
"114","Arkansas","Hempstead",427,64180,14,9669,35,370581,121,50298199,14,364
"115","Arkansas","Hot Spring",294,14785,11,61,95,374506,9,2016,17,258
"116","Arkansas","Howard",319,29976,16,58549,29,509529,112,45603477,12,528
"117","Arkansas","Independence",561,49636,14,39,94,-47,53,31101932,25,851
"118","Arkansas","Izard",392,33361,11,-47,61,86714,17,9917898,10,202
"119","Arkansas","Jackson",68,2258,2,-47,20,545,3,896000,1,-47
"120","Arkansas","Jefferson",78,6478,8,14,32,738,4,1992000,2,-47
"121","Arkansas","Johnson",333,25438,24,335,74,380443,25,17020200,12,1625
"122","Arkansas","Lafayette",134,26544,9,90,13,221,34,18655333,NA,NA
"123","Arkansas","Lawrence",214,15494,7,34,28,121832,26,14490280,14,524
"124","Arkansas","Lee",31,932,1,-47,NA,NA,1,-47,NA,NA
"125","Arkansas","Lincoln",103,5654,1,-47,15,182318,30,16826336,10,104
"126","Arkansas","Little River",238,28901,6,18,26,483275,41,14859250,10,93
"127","Arkansas","Logan",636,59254,27,289,116,163089,77,35043607,26,820
"128","Arkansas","Lonoke",236,14267,14,192,86,2446,NA,NA,19,334
"129","Arkansas","Madison",692,57392,26,184,118,534734,79,48925577,48,1412
"130","Arkansas","Marion",317,27618,12,101,50,1170,1,-47,24,350
"131","Arkansas","Miller",254,18319,NA,NA,43,230793,2,-47,3,184
"132","Arkansas","Mississippi",23,1627,2,-47,5,45040,NA,NA,NA,NA
"133","Arkansas","Monroe",8,521,1,-47,NA,NA,NA,NA,NA,NA
"134","Arkansas","Montgomery",222,16337,7,-47,43,121740,8,1371500,6,202
"135","Arkansas","Nevada",185,19804,8,44,42,193697,30,12699448,7,500
"136","Arkansas","Newton",334,14933,8,56,38,770,2,-47,14,469
"137","Arkansas","Ouachita",79,2093,11,59,31,1287,3,1971000,10,143
"138","Arkansas","Perry",202,10638,13,340,41,1795,15,6510250,13,224
"139","Arkansas","Phillips",11,1875,7,125,4,56,NA,NA,1,-47
"140","Arkansas","Pike",205,19508,14,2878,48,629673,29,13431000,10,344
"141","Arkansas","Poinsett",41,1781,2,-47,1,-47,NA,NA,2,-47
"142","Arkansas","Polk",397,25736,20,-47,57,141618,48,30499248,11,144
"143","Arkansas","Pope",501,37793,18,5509,117,82714,53,28210818,10,290
"144","Arkansas","Prairie",50,5374,1,-47,15,317,6,54,13,218
"145","Arkansas","Pulaski",116,5687,26,513,84,2263,7,1317092,24,682
"146","Arkansas","Randolph",430,33536,29,145,110,1243034,51,30443400,37,2237
"147","Arkansas","St. Francis",27,1292,1,-47,2,-47,NA,NA,NA,NA
"148","Arkansas","Saline",174,6856,12,235,61,1382,NA,NA,1,-47
"149","Arkansas","Scott",321,25991,1,-47,44,89398,37,37003221,17,176
"150","Arkansas","Searcy",392,29618,16,116,75,1093,7,-47,26,902
"151","Arkansas","Sebastian",371,29973,13,29,122,197175,32,17519919,11,321
"152","Arkansas","Sevier",285,35187,6,4906,34,101828,107,52392777,6,436
"153","Arkansas","Sharp",365,31502,15,190,78,226410,49,36346316,27,410
"154","Arkansas","Stone",303,21089,18,73,37,1531,34,14736577,11,298
"155","Arkansas","Union",132,9008,13,138,37,756,3,2015000,10,158
"156","Arkansas","Van Buren",391,18171,17,165,83,1760,9,-47,7,154
"157","Arkansas","Washington",1226,85208,76,4699,308,987503,121,81652276,85,1589
"158","Arkansas","White",820,51780,57,497,203,-47,30,21712436,39,1032
"159","Arkansas","Woodruff",16,277,2,-47,3,90,NA,NA,2,-47
"160","Arkansas","Yell",453,36893,25,-47,83,471707,100,52787913,24,616
"161","California","California",11759,5239070,1374,82010,6310,13454544,460,313662311,3096,532849
"162","California","Alameda",135,12221,6,12,37,720,NA,NA,19,402
"163","California","Alpine",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","California","Amador",184,12990,14,229,86,1941,6,-47,27,842
"165","California","Butte",252,19927,31,3481,167,5141,12,482,78,2115
"166","California","Calaveras",272,22889,33,486,133,3095,11,-47,56,1558
"167","California","Colusa",90,22909,13,474,18,367,NA,NA,12,3894
"168","California","Contra Costa",87,29568,3,21,41,4801,5,270,18,2046
"169","California","Del Norte",17,7047,3,-47,15,95120,NA,NA,8,112
"170","California","El Dorado",248,7497,66,415,288,7659,29,1441,142,1655
"171","California","Fresno",473,467508,38,5923,169,2589,37,93956101,109,41035
"172","California","Glenn",206,52325,11,344,59,2702,2,-47,40,1758
"173","California","Humboldt",350,59575,26,151,84,3106,9,1940,75,7689
"174","California","Imperial",45,412212,5,228,6,87,NA,NA,4,-47
"175","California","Inyo",25,11374,2,-47,6,-47,1,-47,3,39
"176","California","Kern",402,326215,43,1704,143,-47,10,-47,58,110321
"177","California","Kings",170,324887,11,76,42,1152,5,721310,11,-47
"178","California","Lake",92,2888,24,-47,76,1906,NA,NA,66,-47
"179","California","Lassen",185,43348,34,239,80,1856,9,167,33,6121
"180","California","Los Angeles",48,6364,26,169,114,2960,NA,NA,52,1319
"181","California","Madera",236,195378,11,112,79,-47,12,-47,39,3096
"182","California","Marin",115,22953,7,215,31,38370,10,8800,44,2869
"183","California","Mariposa",203,33288,25,102,88,1792,NA,NA,44,941
"184","California","Mendocino",254,14870,29,398,109,3568,13,3206,87,4902
"185","California","Merced",434,593108,3,14,94,3410713,4,-47,67,18316
"186","California","Modoc",196,56498,8,23,43,731,2,-47,21,2221
"187","California","Mono",22,5931,1,-47,8,66,NA,NA,1,-47
"188","California","Monterey",233,50420,17,210,90,4708,14,1175,40,872
"189","California","Napa",103,11989,6,13,118,4487,2,-47,32,833
"190","California","Nevada",147,4861,37,516,153,4282,22,471,81,5089
"191","California","Orange",9,NA,5,61,13,411,NA,NA,4,109
"192","California","Placer",346,12864,44,534,303,5544,15,-47,154,8924
"193","California","Plumas",53,10235,14,220,46,1531,9,915,18,285
"194","California","Riverside",197,25955,85,558,271,984579,13,1717,122,10545
"195","California","Sacramento",262,36760,34,1296,197,6527,29,5448505,116,8884
"196","California","San Benito",150,25449,1,-47,47,5627,7,28815,34,3661
"197","California","San Bernardino",106,99021,28,587,130,860010,11,1018,28,279
"198","California","San Diego",177,14656,80,-47,379,1094318,11,25161,70,958
"199","California","San Francisco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","California","San Joaquin",414,305344,38,1437,237,1242185,19,2701260,109,23265
"201","California","San Luis Obispo",578,38139,65,548,296,9837,12,2224,109,23462
"202","California","San Mateo",44,2565,4,-47,40,2894,1,-47,12,656
"203","California","Santa Barbara",244,26489,18,635,98,3044,8,1100,31,862
"204","California","Santa Clara",157,11090,14,102,91,3796,NA,NA,51,848
"205","California","Santa Cruz",18,1019,3,3,81,-47,2,-47,14,106
"206","California","Shasta",479,17975,55,571,252,5523,23,522,101,1411
"207","California","Sierra",23,6804,NA,NA,NA,NA,NA,NA,1,-47
"208","California","Siskiyou",303,47198,31,387,93,2029,3,109,64,2372
"209","California","Solano",122,50792,26,138,116,18994,NA,NA,74,99106
"210","California","Sonoma",390,52370,82,872,328,1196304,11,-47,191,14136
"211","California","Stanislaus",701,406835,36,6428,181,972924,20,50162642,98,5049
"212","California","Sutter",74,3510,21,549,39,1158,3,90,20,4824
"213","California","Tehama",407,41071,42,812,137,-47,1,-47,111,5654
"214","California","Trinity",70,3791,23,422,33,547,6,530,12,221
"215","California","Tulare",633,1080665,24,-47,118,2009,11,-47,52,-47
"216","California","Tuolumne",187,15242,10,49,72,1363,13,424,33,481
"217","California","Ventura",103,3453,14,127,119,5416,2,-47,42,497
"218","California","Yolo",90,52995,18,695,74,26018,9,4818,62,16407
"219","California","Yuba",196,14851,26,239,142,3618,6,630,96,2412
"220","Colorado","Colorado",12030,2658012,1224,515878,6236,1726744,321,757594,1480,362574
"221","Colorado","Adams",200,15103,45,-47,184,4021,9,455,41,795
"222","Colorado","Alamosa",93,10252,7,28,34,875,2,-47,12,5012
"223","Colorado","Arapahoe",241,7767,39,270,186,4046,11,276,28,266
"224","Colorado","Archuleta",139,7232,2,-47,50,1178,2,-47,11,99
"225","Colorado","Baca",172,37007,9,44,21,390,1,-47,7,116
"226","Colorado","Bent",105,25588,1,-47,8,136,5,100,13,280
"227","Colorado","Boulder",132,3425,15,88,181,4391,10,1018,49,1152
"228","Colorado","Broomfield",4,NA,NA,NA,3,45,NA,NA,1,-47
"229","Colorado","Chaffee",101,6387,3,10,53,932,NA,NA,7,44
"230","Colorado","Cheyenne",105,24274,NA,NA,3,46,2,-47,NA,NA
"231","Colorado","Clear Creek",4,NA,NA,NA,1,-47,NA,NA,2,-47
"232","Colorado","Conejos",201,19837,14,126,58,1282,NA,NA,26,8524
"233","Colorado","Costilla",41,3939,2,-47,4,88,NA,NA,7,501
"234","Colorado","Crowley",88,79842,8,14,25,562,2,-47,15,666
"235","Colorado","Custer",97,3244,9,48,38,634,4,112,9,50
"236","Colorado","Delta",464,30710,66,1004,298,7798,28,13901,60,7885
"237","Colorado","Denver",1,NA,NA,NA,7,75,NA,NA,1,-47
"238","Colorado","Dolores",59,4059,1,-47,26,350,NA,NA,6,74
"239","Colorado","Douglas",429,6144,21,88,260,4505,2,-47,67,1073
"240","Colorado","Eagle",65,5855,11,97,31,717,7,94,8,7974
"241","Colorado","Elbert",737,35783,88,575,458,8969,33,2105,97,1206
"242","Colorado","El Paso",470,16451,96,552,360,9344,18,1124,68,943
"243","Colorado","Fremont",229,7706,14,44,128,2288,NA,NA,14,209
"244","Colorado","Garfield",200,19353,17,72,123,2874,4,170,25,8893
"245","Colorado","Gilpin",7,59,NA,NA,9,76,NA,NA,NA,NA
"246","Colorado","Grand",85,11389,8,45,39,808,NA,NA,12,135
"247","Colorado","Gunnison",113,16299,16,209,36,1523,3,-47,5,5904
"248","Colorado","Hinsdale",6,290,NA,NA,NA,NA,NA,NA,NA,NA
"249","Colorado","Huerfano",181,13855,12,50,56,1065,9,120,10,54
"250","Colorado","Jackson",68,25960,2,-47,16,250,NA,NA,5,286
"251","Colorado","Jefferson",106,1524,1,-47,144,2180,3,45,46,375
"252","Colorado","Kiowa",101,17684,4,-47,10,166,NA,NA,6,195
"253","Colorado","Kit Carson",202,234841,7,-47,24,458,2,-47,9,1309
"254","Colorado","Lake",16,745,NA,NA,NA,NA,NA,NA,NA,NA
"255","Colorado","La Plata",362,16202,57,287,228,6082,2,-47,70,6482
"256","Colorado","Larimer",459,73026,53,271,397,10786,31,-47,94,1660
"257","Colorado","Las Animas",274,40618,4,22,53,-47,NA,NA,11,168
"258","Colorado","Lincoln",201,38046,9,120,35,719,NA,NA,5,84
"259","Colorado","Logan",293,224115,11,-47,74,1831,7,-47,22,2822
"260","Colorado","Mesa",693,27155,81,423,583,-47,28,858,101,17251
"261","Colorado","Mineral",9,264,NA,NA,2,-47,NA,NA,2,-47
"262","Colorado","Moffat",150,32937,14,113,69,1287,NA,NA,27,62347
"263","Colorado","Montezuma",309,15646,33,212,161,4037,5,330,69,1227
"264","Colorado","Montrose",380,35892,43,1090,159,464268,5,187,57,21540
"265","Colorado","Morgan",221,245516,31,2287,78,1403,12,4354,18,-47
"266","Colorado","Otero",165,52853,14,97,41,535,1,-47,15,-47
"267","Colorado","Ouray",49,3188,8,31,11,267,NA,NA,NA,NA
"268","Colorado","Park",123,7029,8,52,51,901,4,200,12,115
"269","Colorado","Phillips",61,26885,5,-47,14,298,1,-47,NA,NA
"270","Colorado","Pitkin",46,4123,3,21,14,1379,4,1260,6,229
"271","Colorado","Prowers",118,113535,8,-47,15,337,NA,NA,7,102
"272","Colorado","Pueblo",272,22799,15,126,135,1986,2,-47,23,3629
"273","Colorado","Rio Blanco",116,21157,18,94,35,497,2,-47,22,12324
"274","Colorado","Rio Grande",107,10733,17,224,19,330,NA,NA,14,5065
"275","Colorado","Routt",246,32693,35,200,133,2257,14,920,39,16270
"276","Colorado","Saguache",108,27353,10,28,45,-47,NA,NA,6,344
"277","Colorado","San Juan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Colorado","San Miguel",51,7190,6,17,9,179,1,-47,10,2294
"279","Colorado","Sedgwick",40,12627,5,-47,11,382,NA,NA,7,223
"280","Colorado","Summit",17,582,4,-47,14,163,NA,NA,6,12
"281","Colorado","Teller",46,1634,2,-47,37,737,3,150,9,164
"282","Colorado","Washington",212,70884,7,-47,29,-47,1,-47,12,1027
"283","Colorado","Weld",1342,545480,182,1613,853,-47,36,-47,141,129426
"284","Colorado","Yuma",298,255184,23,-47,57,1161,5,89,8,336
"285","Connecticut","Connecticut",876,45837,218,3701,1209,-47,149,223640,332,4083
"286","Connecticut","Fairfield",23,287,8,94,92,4433,11,4453,34,306
"287","Connecticut","Hartford",91,2419,32,661,155,5415,11,7570,38,520
"288","Connecticut","Litchfield",201,9870,35,487,245,9323,31,9186,78,843
"289","Connecticut","Middlesex",52,566,20,131,108,2546,9,720,30,411
"290","Connecticut","New Haven",73,1100,23,286,163,5092,13,1497,16,201
"291","Connecticut","New London",185,12797,39,1356,175,-47,35,13603,50,668
"292","Connecticut","Tolland",89,9505,23,287,127,6318,14,34004,55,843
"293","Connecticut","Windham",162,9293,38,399,144,5156,25,152607,31,291
"294","Delaware","Delaware",230,10093,46,2935,197,-47,588,242072919,74,1288
"295","Delaware","Kent",106,5299,20,1103,97,2644,129,62176017,43,848
"296","Delaware","New Castle",40,1379,10,70,48,-47,8,3527430,16,287
"297","Delaware","Sussex",84,3415,16,1762,52,1778,451,176369472,15,153
"298","Florida","Florida",17435,1574057,1486,14482,6197,7096782,415,64995839,1358,24329
"299","Florida","Alachua",630,44902,64,816,229,5815,17,1324,55,1142
"300","Florida","Baker",172,3684,24,326,88,1751,NA,NA,11,165
"301","Florida","Bay",25,735,7,20,42,835,NA,NA,3,7
"302","Florida","Bradford",197,7506,26,301,58,-47,NA,NA,19,160
"303","Florida","Brevard",136,23448,21,146,81,3011,5,451,24,484
"304","Florida","Broward",64,NA,6,29,67,1783,7,233,27,209
"305","Florida","Calhoun",53,1724,2,-47,34,515,NA,NA,12,87
"306","Florida","Charlotte",140,12609,22,122,37,928,3,87,7,62
"307","Florida","Citrus",314,10361,46,218,142,4880,14,3575,46,496
"308","Florida","Clay",157,6664,24,137,95,2709,6,182,16,268
"309","Florida","Collier",65,10033,8,37,37,664,1,-47,6,78
"310","Florida","Columbia",419,29392,25,169,155,-47,6,-47,35,903
"311","Florida","DeSoto",427,65480,22,144,56,928,8,4830,5,38
"312","Florida","Dixie",72,3841,19,72,30,-47,NA,NA,8,94
"313","Florida","Duval",130,2904,6,66,54,1023,NA,NA,11,217
"314","Florida","Escambia",197,9675,14,72,64,1401,3,45,16,292
"315","Florida","Flagler",54,4917,NA,NA,12,164,NA,NA,1,-47
"316","Florida","Franklin",3,327,NA,NA,9,132,NA,NA,NA,NA
"317","Florida","Gadsden",117,4563,8,32,65,-47,NA,NA,8,132
"318","Florida","Gilchrist",236,37733,34,154,90,1971,8,1415,11,370
"319","Florida","Glades",215,64634,5,36,27,603,NA,NA,8,153
"320","Florida","Gulf",14,1390,NA,NA,3,82,NA,NA,1,-47
"321","Florida","Hamilton",121,7178,5,-47,31,450,3,4500000,9,40
"322","Florida","Hardee",552,71991,11,69,69,1172,NA,NA,24,508
"323","Florida","Hendry",181,64720,6,-47,18,-47,4,252,8,75
"324","Florida","Hernando",379,9372,38,256,169,3965,12,690,46,808
"325","Florida","Highlands",481,74469,10,122,87,1535,1,-47,30,428
"326","Florida","Hillsborough",957,32943,48,1114,245,6790,18,-47,72,936
"327","Florida","Holmes",292,12401,19,91,83,1316,2,-47,7,74
"328","Florida","Indian River",180,23234,16,179,64,1372,4,60,14,247
"329","Florida","Jackson",337,34278,25,182,88,2740,6,1875750,18,343
"330","Florida","Jefferson",168,29064,22,226,78,4069,5,73,12,157
"331","Florida","Lafayette",126,17387,13,310,21,104504,16,13048500,5,755
"332","Florida","Lake",618,25550,41,450,218,-47,7,1267,28,805
"333","Florida","Lee",244,9946,30,207,130,4851,17,2136,23,446
"334","Florida","Leon",75,1936,10,259,66,1886,3,8613,14,151
"335","Florida","Levy",408,46261,26,127,110,3525,6,200,27,459
"336","Florida","Liberty",45,1220,22,47,29,632,NA,NA,1,-47
"337","Florida","Madison",284,26480,11,676,60,-47,8,8797000,13,435
"338","Florida","Manatee",331,38973,10,149,78,3938,2,-47,10,204
"339","Florida","Marion",1167,40796,89,403,489,11151,23,958,115,2388
"340","Florida","Martin",294,25376,23,72,102,2236,10,107,31,424
"341","Florida","Miami-Dade",105,7668,22,128,262,36755,16,-47,72,1613
"342","Florida","Monroe",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","Florida","Nassau",186,4736,41,252,85,4294,2,-47,16,269
"344","Florida","Okaloosa",112,2741,8,359,70,1303,NA,NA,18,384
"345","Florida","Okeechobee",438,157001,12,80,39,-47,10,-47,14,224
"346","Florida","Orange",168,16382,19,485,74,2714,11,-47,35,399
"347","Florida","Osceola",186,99418,16,34,38,441,2,-47,18,478
"348","Florida","Palm Beach",136,14545,23,183,174,5431,27,1259,39,623
"349","Florida","Pasco",613,34635,77,362,170,2636116,3,32,46,405
"350","Florida","Pinellas",7,NA,1,-47,14,914,1,-47,NA,NA
"351","Florida","Polk",1017,109225,58,675,188,-47,14,581,24,613
"352","Florida","Putnam",234,13437,25,157,82,-47,1,-47,4,82
"353","Florida","St. Johns",59,801,4,20,25,517,1,-47,5,162
"354","Florida","St. Lucie",199,32357,24,184,66,1777,7,1220,20,438
"355","Florida","Santa Rosa",215,6955,43,172,159,4464,3,36,NA,NA
"356","Florida","Sarasota",95,14361,2,-47,44,1459,NA,NA,6,49
"357","Florida","Seminole",94,3943,13,91,65,1739,7,906,5,61
"358","Florida","Sumter",721,32985,27,272,156,-47,3,-47,30,520
"359","Florida","Suwannee",548,37145,48,281,141,122025,50,25329935,48,1239
"360","Florida","Taylor",88,3906,22,104,30,335,6,3863000,4,51
"361","Florida","Union",180,7438,13,166,62,1121,NA,NA,7,147
"362","Florida","Volusia",495,9965,74,388,258,7405,11,382,73,1190
"363","Florida","Wakulla",50,1118,17,77,56,2132,5,366,1,-47
"364","Florida","Walton",258,7000,24,327,141,22966,10,4618000,26,161
"365","Florida","Washington",152,9212,15,104,88,2452,NA,NA,10,137
"366","Georgia","Georgia",13708,1000560,1053,41671,4682,22129571,2018,1300052315,999,26839
"367","Georgia","Appling",124,7167,8,144,51,597265,35,18079923,15,427
"368","Georgia","Atkinson",72,7838,2,-47,17,44407,10,6353450,NA,NA
"369","Georgia","Bacon",68,7406,NA,NA,28,421852,9,3378690,2,-47
"370","Georgia","Baker",43,6479,1,-47,8,-47,2,-47,NA,NA
"371","Georgia","Baldwin",52,2060,NA,NA,5,110,NA,NA,5,68
"372","Georgia","Banks",226,14264,10,-47,63,533691,68,36735764,8,154
"373","Georgia","Barrow",113,6910,12,30,23,371,30,15154900,5,22
"374","Georgia","Bartow",192,18065,23,78,65,-47,30,15446214,20,251
"375","Georgia","Ben Hill",48,1597,2,-47,12,266,2,-47,NA,NA
"376","Georgia","Berrien",103,9419,5,-47,25,-47,8,6364000,7,128
