"State","County","dairyCount","hogCount","broilerCount","layerCount","beefCount","weighted_dairy","weighted_hog","weighted_broiler","weighted_layer","weighted_beef","totalCount","Area..mi.2.","Area_km2","density_per_km2"
"alabama","madison",0,0,0,0,0,0,0,0,0,0,0,801.59,2076.1100841,0
"alabama","marengo",0,0,0,0,0,0,0,0,0,0,0,976.88,2530.1094312,0
"alabama","marion",0,0,6652298,0,0,0,0,14635.0556,0,0,14635.0556,742.29,1922.5236771,7.61241891287187
"alabama","marshall",0,0,9572820,175892,0,0,0,21060.204,703.568,0,21763.772,565.84,1465.5199416,14.8505464731098
"alabama","mobile",0,0,0,0,0,0,0,0,0,0,0,1229.44,3184.2373056,0
"alabama","monroe",0,0,162251,0,0,0,0,356.9522,0,0,356.9522,1025.67,2656.4750433,0.134370620533509
"alabama","montgomery",0,0,486754,0,0,0,0,1070.8588,0,0,1070.8588,784.25,2031.1996575,0.527205090866357
"alabama","morgan",0,0,3569526,0,0,0,0,7852.9572,0,0,7852.9572,579.34,1500.4848066,5.23361327316222
"alabama","perry",0,0,0,0,0,0,0,0,0,0,0,719.66,1863.9122034,0
"alabama","pickens",0,1000,3245024,0,0,0,110,7139.0528,0,0,7249.0528,881.41,2282.8430859,3.17544944055675
"alabama","pike",0,0,9897322,0,0,0,0,21774.1084,0,0,21774.1084,672.09,1740.7063791,12.5087772765318
"alabama","randolph",0,0,5841042,0,0,0,0,12850.2924,0,0,12850.2924,580.55,1503.6186945,8.5462441023142
"alabama","russell",0,0,486754,0,0,0,0,1070.8588,0,0,1070.8588,641.14,1660.5461886,0.644883477106311
"alabama","shelby",0,0,0,0,0,0,0,0,0,0,0,784.93,2032.9608507,0
"alabama","stclair",0,0,3731777,0,0,0,0,8209.9094,0,0,8209.9094,631.9,1636.614681,5.01639725911759
"alabama","sumter",0,1000,0,0,0,0,110,0,0,0,110,903.89,2341.0660611,0.046987140528753
"alabama","talladega",0,0,162251,0,0,0,0,356.9522,0,0,356.9522,736.78,1908.2528322,0.187057078588729
"alabama","tallapoosa",0,0,486754,0,0,0,0,1070.8588,0,0,1070.8588,716.52,1855.7796348,0.577039848869453
"alabama","tuscaloosa",0,0,1460261,0,0,0,0,3212.5742,0,0,3212.5742,1321.75,3423.3192825,0.938438379505725
"alabama","walker",0,0,1622512,0,0,0,0,3569.5264,0,0,3569.5264,791.19,2049.1741881,1.7419341023955
"alabama","washington",0,0,162251,0,0,0,0,356.9522,0,0,356.9522,1080.21,2797.7330979,0.127586223384901
"alabama","wilcox",0,0,0,0,0,0,0,0,0,0,0,888.5,2301.206115,0
"alabama","winston",0,0,0,0,0,0,0,0,0,0,0,612.98,1587.6120702,0
"arizona","apache",0,0,0,0,0,0,0,0,0,0,0,11218,29054.50782,0
"arizona","cochise",0,0,0,0,0,0,0,0,0,0,0,6219,16107.14781,0
"arizona","coconino",0,0,0,0,0,0,0,0,0,0,0,18661,48331.80339,0
"arizona","gila",0,0,0,0,0,0,0,0,0,0,0,4796,12421.59204,0
"arizona","graham",0,0,0,0,0,0,0,0,0,0,0,4641,12020.14359,0
"arizona","greenlee",0,0,0,0,0,0,0,0,0,0,0,1848,4786.30152,0
"arizona","lapaz",0,0,0,1e+05,0,0,0,0,400,0,400,4513,11688.62487,0.0342213052817393
"arizona","maricopa",102773,0,0,1e+05,0,138743.55,0,0,400,0,139143.55,9224,23890.06776,5.82432630153411
"arizona","mohave",0,0,0,0,0,0,0,0,0,0,0,13470,34887.1653,0
"arizona","navajo",0,1000,0,0,0,0,110,0,0,0,110,9959,25793.71041,0.00426460552791792
"arizona","pima",0,1000,0,0,0,0,110,0,0,0,110,9189,23799.41811,0.0046219617425764
"arizona","pinal",95889,0,0,0,268496,129450.15,0,0,0,236276.48,365726.63,5374,13918.60626,26.2760956929318
"arizona","santacruz",0,0,0,0,0,0,0,0,0,0,0,1238,3206.40762,0
"arizona","yavapai",0,0,0,0,0,0,0,0,0,0,0,8128,21051.43872,0
"arizona","yuma",0,0,0,0,0,0,0,0,0,0,0,5519,14294.15481,0
"arkansas","arkansas",0,0,0,0,0,0,0,0,0,0,0,1033.79,2677.5057621,0
"arkansas","ashley",0,0,0,0,0,0,0,0,0,0,0,939.08,2432.2078092,0
"arkansas","baxter",0,0,0,0,0,0,0,0,0,0,0,586.74,1519.6507326,0
"arkansas","benton",0,0,13299719,188063,0,0,0,29259.3818,752.252,0,30011.6338,884.86,2291.7785514,13.0953463115651
"arkansas","boone",0,0,1946300,0,0,0,0,4281.86,0,0,4281.86,601.82,1558.7077818,2.74705756267881
"arkansas","bradley",0,0,810958,0,0,0,0,1784.1076,0,0,1784.1076,654.38,1694.8376562,1.05267167830113
"arkansas","calhoun",0,0,0,0,0,0,0,0,0,0,0,632.54,1638.2722746,0
"arkansas","carroll",0,0,5027942,188063,0,0,0,11061.4724,752.252,0,11813.7244,638.81,1654.5115119,7.14030958082208
"arkansas","chicot",0,0,0,0,0,0,0,0,0,0,0,690.88,1789.3722912,0
"arkansas","clark",0,0,0,0,0,0,0,0,0,0,0,882.6,2285.925174,0
"arkansas","clay",0,0,3406025,0,0,0,0,7493.255,0,0,7493.255,641.12,1660.4943888,4.51266505357793
"arkansas","cleburne",0,0,162192,0,0,0,0,356.8224,0,0,356.8224,591.91,1533.0409809,0.232754638946782
"arkansas","cleveland",0,0,2108492,0,0,0,0,4638.6824,0,0,4638.6824,598.8,1550.886012,2.99098861174073
"arkansas","columbia",0,0,648767,0,0,0,0,1427.2874,0,0,1427.2874,766.86,1986.1597314,0.718616623545145
"arkansas","conway",0,13200,5027942,0,0,0,1452,11061.4724,0,0,12513.4724,566.66,1467.6437334,8.52623297822477
"arkansas","craighead",0,0,0,0,0,0,0,0,0,0,0,712.98,1846.6110702,0
"arkansas","crawford",0,0,0,0,0,0,0,0,0,0,0,604.2,1564.871958,0
"arkansas","crittenden",0,0,0,0,0,0,0,0,0,0,0,636.74,1649.1502326,0
"arkansas","cross",0,0,0,0,0,0,0,0,0,0,0,622.33,1611.8284767,0
"arkansas","dallas",0,0,0,0,0,0,0,0,0,0,0,668.16,1730.5277184,0
"arkansas","desha",0,0,0,0,0,0,0,0,0,0,0,819.52,2122.5486048,0
"arkansas","drew",0,0,648767,0,0,0,0,1427.2874,0,0,1427.2874,835.65,2164.3251435,0.659460711939006
"arkansas","faulkner",0,0,0,0,0,0,0,0,0,0,0,664.01,1719.7792599,0
"arkansas","franklin",0,0,2270684,0,0,0,0,4995.5048,0,0,4995.5048,619.69,1604.9909031,3.11248169092504
"arkansas","fulton",0,0,486575,0,0,0,0,1070.465,0,0,1070.465,620.32,1606.6225968,0.666282798544042
"arkansas","garland",0,0,0,0,0,0,0,0,0,0,0,734.57,1902.5289543,0
"arkansas","grant",0,0,0,0,0,0,0,0,0,0,0,633.01,1639.4895699,0
"arkansas","greene",0,0,0,0,0,0,0,0,0,0,0,579.65,1501.2877035,0
"arkansas","hempstead",0,9600,7136434,0,0,0,1056,15700.1548,0,0,16756.1548,741.36,1920.1149864,8.72664133069234
"arkansas","hotspring",0,0,0,0,0,0,0,0,0,0,0,622.16,1611.3881784,0
"arkansas","howard",0,56601,5027942,0,0,0,6226.11,11061.4724,0,0,17287.5824,595.2,1541.562048,11.2143279749451
"arkansas","independence",0,0,3406025,0,0,0,0,7493.255,0,0,7493.255,771.57,1998.3585843,3.74970491225667
"arkansas","izard",0,0,1784109,0,0,0,0,3925.0398,0,0,3925.0398,584.02,1512.6059598,2.59488584886905
"arkansas","jackson",0,0,0,0,0,0,0,0,0,0,0,641.45,1661.3490855,0
"arkansas","jefferson",0,0,162192,0,0,0,0,356.8224,0,0,356.8224,913.7,2366.473863,0.1507823118518
"arkansas","johnson",0,0,2270684,0,0,0,0,4995.5048,0,0,4995.5048,682.74,1768.2897726,2.82504874337133
"arkansas","lafayette",0,0,1621917,0,0,0,0,3568.2174,0,0,3568.2174,545.07,1411.7258493,2.52755689199096
"arkansas","lawrence",0,0,2270684,0,0,0,0,4995.5048,0,0,4995.5048,592.34,1534.1546766,3.2561937047124
"arkansas","lee",0,0,0,0,0,0,0,0,0,0,0,619.47,1604.4211053,0
"arkansas","lincoln",0,0,2270684,0,0,0,0,4995.5048,0,0,4995.5048,572.17,1481.9145783,3.37098026644064
"arkansas","littleriver",0,0,1459725,0,0,0,0,3211.395,0,0,3211.395,564.87,1463.0076513,2.1950637080718
"arkansas","logan",0,0,3568217,0,0,0,0,7850.0774,0,0,7850.0774,731.5,1894.577685,4.14344445316319
"arkansas","lonoke",0,0,0,0,0,0,0,0,0,0,0,802.43,2078.2856757,0
"arkansas","madison",0,0,7136434,0,0,0,0,15700.1548,0,0,15700.1548,837.06,2167.9770294,7.2418455486796
"arkansas","marion",0,0,0,0,0,0,0,0,0,0,0,640.39,1658.6036961,0
"arkansas","miller",0,0,162192,0,0,0,0,356.8224,0,0,356.8224,637.48,1651.0668252,0.216116267708775
"arkansas","mississippi",0,0,0,0,0,0,0,0,0,0,0,919.73,2382.0915027,0
"arkansas","monroe",0,0,0,0,0,0,0,0,0,0,0,621.41,1609.4456859,0
"arkansas","montgomery",0,0,0,0,0,0,0,0,0,0,0,800.29,2072.7430971,0
"arkansas","nevada",0,0,1621917,0,0,0,0,3568.2174,0,0,3568.2174,620.78,1607.8139922,2.21929739218002
"arkansas","newton",0,0,162192,0,0,0,0,356.8224,0,0,356.8224,823.18,2132.0279682,0.167362907673886
"arkansas","ouachita",0,0,324383,0,0,0,0,713.6426,0,0,713.6426,739.63,1915.6343037,0.372535926414356
"arkansas","perry",0,0,486575,0,0,0,0,1070.465,0,0,1070.465,560.47,1451.6116953,0.737432058081325
"arkansas","phillips",0,0,0,0,0,0,0,0,0,0,0,727.29,1883.6738271,0
"arkansas","pike",0,22007,2270684,0,0,0,2420.77,4995.5048,0,0,7416.2748,613.88,1589.9430612,4.66449081164115
"arkansas","poinsett",0,0,0,0,0,0,0,0,0,0,0,763.39,1977.1724661,0
"arkansas","polk",0,0,3243834,0,0,0,0,7136.4348,0,0,7136.4348,862.42,2233.6591758,3.19495242484523
"arkansas","pope",0,5200,3243834,0,0,0,572,7136.4348,0,0,7708.4348,830.79,2151.7377921,3.58242292732002
"arkansas","prairie",0,0,0,0,0,0,0,0,0,0,0,675.76,1750.2116424,0
"arkansas","pulaski",0,0,0,0,0,0,0,0,0,0,0,807.84,2092.2975216,0
"arkansas","randolph",0,0,4379176,188063,0,0,0,9634.1872,752.252,0,10386.4392,656.04,1699.1370396,6.1127731065442
"arkansas","saline",0,0,0,0,0,0,0,0,0,0,0,730.46,1891.8840954,0
"arkansas","scott",0,0,4703559,0,0,0,0,10347.8298,0,0,10347.8298,898.09,2326.0441191,4.44868165441497
"arkansas","searcy",0,0,162192,0,0,0,0,356.8224,0,0,356.8224,668.51,1731.4342149,0.206084872835096
"arkansas","sebastian",0,0,2595067,0,0,0,0,5709.1474,0,0,5709.1474,546.04,1414.2381396,4.03690668504723
"arkansas","sevier",0,24863,8109584,0,0,0,2734.93,17841.0848,0,0,20576.0148,581.35,1505.6906865,13.6654991523055
"arkansas","sharp",0,0,5676709,0,0,0,0,12488.7598,0,0,12488.7598,606.35,1570.4404365,7.95239316929038
"arkansas","stfrancis",0,0,0,0,0,0,0,0,0,0,0,642.4,1663.809576,0
"arkansas","stone",0,0,1621917,0,0,0,0,3568.2174,0,0,3568.2174,609.43,1578.4176057,2.26062949824838
"arkansas","union",0,0,486575,0,0,0,0,1070.465,0,0,1070.465,1055.27,2733.1387473,0.391661418966559
"arkansas","vanburen",0,0,162192,0,0,0,0,356.8224,0,0,356.8224,724.32,1875.9815568,0.190205707890145
"arkansas","washington",0,0,11515610,0,0,0,0,25334.342,0,0,25334.342,951.72,2464.9452828,10.2778516735357
"arkansas","white",0,0,3730409,188063,0,0,0,8206.8998,752.252,0,8959.1518,1042.36,2699.7019764,3.31857067125122
"arkansas","woodruff",0,0,0,0,0,0,0,0,0,0,0,594.05,1538.5835595,0
"arkansas","yell",0,0,6649859,0,0,0,0,14629.6898,0,0,14629.6898,948.84,2457.4861116,5.95311189387558
"california","alameda",0,0,0,0,0,0,0,0,0,0,0,738,1911.41262,0
"california","alpine",0,0,0,0,0,0,0,0,0,0,0,739,1914.00261,0
"california","amador",0,0,0,0,0,0,0,0,0,0,0,606,1569.53394,0
"california","butte",0,12678,0,0,0,0,1394.58,0,0,0,1394.58,1640,4247.5836,0.328323143539776
"california","calaveras",0,0,0,0,0,0,0,0,0,0,0,1020,2641.7898,0
"california","colusa",0,0,0,0,0,0,0,0,0,0,0,1151,2981.07849,0
"california","contracosta",0,0,0,0,0,0,0,0,0,0,0,720,1864.7928,0
"california","delnorte",9263,0,0,0,0,12505.05,0,0,0,0,12505.05,1008,2610.70992,4.78990404265212
"california","eldorado",0,0,0,0,0,0,0,0,0,0,0,1712,4434.06288,0
"california","fresno",110911,11458,10586575,0,0,149729.85,1260.38,23290.465,0,0,174280.695,5963,15444.11037,11.284605640901
"california","glenn",11805,0,0,0,0,15936.75,0,0,0,0,15936.75,1315,3405.83685,4.67924645304134
"california","humboldt",10646,0,0,0,0,14372.1,0,0,0,0,14372.1,3573,9254.03427,1.55306319175756
"california","imperial",13921,0,0,0,345271,18793.35,0,0,0,303838.48,322631.83,4175,10813.20825,29.8368275668787
"california","inyo",0,0,0,0,0,0,0,0,0,0,0,10192,26397.17808,0
"california","kern",129189,0,0,803838,0,174405.15,0,0,3215.352,0,177620.502,8142,21087.69858,8.42294389433558
"california","kings",150013,0,0,0,154349,202517.55,0,0,0,135827.12,338344.67,1390,3600.0861,93.9823828102334
"california","lake",0,0,0,0,0,0,0,0,0,0,0,1258,3258.20742,0
"california","lassen",0,0,0,0,0,0,0,0,0,0,0,4558,11805.17442,0
"california","losangeles",0,0,0,0,0,0,0,0,0,0,0,4060,10515.3594,0
"california","madera",78246,0,1512368,401919,0,105632.1,0,3327.2096,1607.676,0,110566.9856,2138,5537.39862,19.9673155551153
"california","marin",0,0,0,0,0,0,0,0,0,0,0,520,1346.7948,0
"california","mariposa",0,0,0,0,0,0,0,0,0,0,0,1451,3758.07549,0
"california","mendocino",0,0,0,0,0,0,0,0,0,0,0,3509,9088.27491,0
"california","merced",286662,0,1512368,2411515,0,386993.7,0,3327.2096,9646.06,0,399966.9696,1929,4996.09071,80.0559863333626
"california","modoc",0,0,0,0,0,0,0,0,0,0,0,3944,10214.92056,0
"california","mono",0,0,0,0,0,0,0,0,0,0,0,3044,7883.92956,0
"california","monterey",0,0,0,0,0,0,0,0,0,0,0,3322,8603.94678,0
"california","napa",0,0,0,0,0,0,0,0,0,0,0,754,1952.85246,0
"california","nevada",0,0,0,0,0,0,0,0,0,0,0,958,2481.21042,0
"california","orange",0,0,0,0,0,0,0,0,0,0,0,948,2455.31052,0
"california","placer",0,0,1512368,0,0,0,0,3327.2096,0,0,3327.2096,1407,3644.11593,0.913036155795406
"california","plumas",0,0,0,0,0,0,0,0,0,0,0,2554,6614.83446,0
"california","riverside",13364,0,0,803838,0,18041.4,0,0,3215.352,0,21256.752,7208,18668.64792,1.13863371847231
"california","sacramento",2259,0,3024736,0,0,3049.65,0,6654.4192,0,0,9704.0692,966,2501.93034,3.87863284794732
"california","sanbenito",0,0,0,0,0,0,0,0,0,0,0,1389,3597.49611,0
"california","sanbernardino",52330,0,0,1205757,0,70645.5,0,0,4823.028,0,75468.528,20062,51960.37938,1.45242449921466
"california","sandiego",5480,11056,0,401919,0,7398,1216.16,0,1607.676,0,10221.836,4204,10888.31796,0.938789263644906
"california","sanfrancisco",0,0,0,0,0,0,0,0,0,0,0,47,121.72953,0
"california","sanjoaquin",132672,0,0,1607676,0,179107.2,0,0,6430.704,0,185537.904,1399,3623.39601,51.2055274907696
"california","sanluisobispo",0,0,0,0,0,0,0,0,0,0,0,3304,8557.32696,0
"california","sanmateo",0,0,0,0,0,0,0,0,0,0,0,449,1162.90551,0
"california","santabarbara",0,0,0,0,0,0,0,0,0,0,0,2738,7091.39262,0
"california","santaclara",0,0,0,0,0,0,0,0,0,0,0,1291,3343.67709,0
"california","santacruz",0,0,0,401919,0,0,0,0,1607.676,0,1607.676,446,1155.13554,1.39176394832419
"california","shasta",0,0,0,0,0,0,0,0,0,0,0,3786,9805.70214,0
"california","sierra",0,0,0,0,0,0,0,0,0,0,0,953,2468.26047,0
"california","siskiyou",0,0,0,0,0,0,0,0,0,0,0,6287,16283.26713,0
"california","solano",0,0,0,0,0,0,0,0,0,0,0,828,2144.51172,0
"california","sonoma",13085,0,3024736,1205757,0,17664.75,0,6654.4192,4823.028,0,29142.1972,1576,4081.82424,7.13950319428747
"california","stanislaus",150073,10366,12098942,1205757,12021,202598.55,1140.26,26617.6724,4823.028,10578.48,245757.9904,1495,3872.03505,63.4699808308812
"california","sutter",0,0,0,0,0,0,0,0,0,0,0,603,1561.76397,0
"california","tehama",0,0,0,0,0,0,0,0,0,0,0,2951,7643.06049,0
"california","trinity",0,0,0,0,0,0,0,0,0,0,0,3179,8233.57821,0
"california","tulare",479214,11452,4537103,0,0,646938.9,1259.72,9981.6266,0,0,658180.2466,4824,12494.11176,52.6792347661856
"california","tuolumne",0,0,0,0,0,0,0,0,0,0,0,2236,5791.21764,0
"california","ventura",0,0,0,0,0,0,0,0,0,0,0,1846,4781.12154,0
"california","yolo",0,0,0,0,0,0,0,0,0,0,0,1012,2621.06988,0
"california","yuba",8477,0,0,0,0,11443.95,0,0,0,0,11443.95,630,1631.6937,7.01354059282082
"colorado","adams",0,44629,0,0,0,0,4909.19,0,0,0,4909.19,1182.29,3062.1192771,1.60320012244895
"colorado","alamosa",0,0,0,0,0,0,0,0,0,0,0,723.21,1873.1066679,0
"colorado","arapahoe",0,0,0,0,0,0,0,0,0,0,0,804.41,2083.4138559,0
"colorado","archuleta",0,0,0,0,0,0,0,0,0,0,0,1354.53,3508.2191547,0
"colorado","baca",0,0,0,0,0,0,0,0,0,0,0,2558.48,6626.4376152,0
"colorado","bent",0,42306,0,0,0,0,4653.66,0,0,0,4653.66,1541.07,3991.3558893,1.16593461697452
"colorado","boulder",0,0,0,0,0,0,0,0,0,0,0,740.48,1917.8357952,0
"colorado","broomfield",0,0,0,0,0,0,0,0,0,0,0,33.57,86.9459643,0
"colorado","chaffee",0,0,0,0,0,0,0,0,0,0,0,1014.12,2626.5606588,0
"colorado","cheyenne",0,0,0,0,0,0,0,0,0,0,0,1781.9,4615.103181,0
"colorado","clearcreek",0,0,0,0,0,0,0,0,0,0,0,396.53,1027.0087347,0
"colorado","conejos",0,0,0,0,0,0,0,0,0,0,0,1290.22,3341.6568978,0
"colorado","costilla",0,0,0,0,0,0,0,0,0,0,0,1229.38,3184.0819062,0
"colorado","crowley",0,0,0,0,45722,0,0,0,0,40235.36,40235.36,800.27,2072.6912973,19.4121334191989
"colorado","custer",0,0,0,0,0,0,0,0,0,0,0,739.24,1914.6242076,0
"colorado","delta",0,0,0,0,0,0,0,0,0,0,0,1149.44,2977.0381056,0
"colorado","denver",0,0,0,0,0,0,0,0,0,0,0,155.66,403.1578434,0
"colorado","dolores",0,0,0,0,0,0,0,0,0,0,0,1076.93,2789.2379307,0
"colorado","douglas",0,0,0,0,0,0,0,0,0,0,0,842.3,2181.548577,0
"colorado","eagle",0,0,0,0,0,0,0,0,0,0,0,1700.76,4404.9513924,0
"colorado","elbert",0,0,0,0,0,0,0,0,0,0,0,1849.08,4789.0987092,0
"colorado","elpaso",0,0,0,0,0,0,0,0,0,0,0,2128.6,5513.052714,0
"colorado","fremont",0,0,0,0,0,0,0,0,0,0,0,1533.09,3970.6877691,0
"colorado","garfield",0,0,0,0,0,0,0,0,0,0,0,2958.23,7661.7861177,0
"colorado","gilpin",0,0,0,0,0,0,0,0,0,0,0,150.15,388.8869985,0
"colorado","grand",0,0,0,0,0,0,0,0,0,0,0,1868.53,4839.4740147,0
"colorado","gunnison",0,0,0,0,0,0,0,0,0,0,0,3259.22,8441.3472078,0
"colorado","hinsdale",0,0,0,0,0,0,0,0,0,0,0,1123.35,2909.4652665,0
"colorado","huerfano",0,0,0,0,0,0,0,0,0,0,0,1592.37,4124.2223763,0
"colorado","jackson",0,0,0,0,0,0,0,0,0,0,0,1619.75,4195.1363025,0
"colorado","jefferson",0,0,0,0,0,0,0,0,0,0,0,772.85,2001.6737715,0
"colorado","kiowa",0,56450,0,0,0,0,6209.5,0,0,0,6209.5,1785.9,4625.463141,1.34246016252062
"colorado","kitcarson",0,49830,0,0,185570,0,5481.3,0,0,163301.6,168782.9,2162.43,5600.6720757,30.1361868216333
"colorado","lake",0,0,0,0,0,0,0,0,0,0,0,383.55,993.3906645,0
"colorado","laplata",0,0,0,0,0,0,0,0,0,0,0,1700.44,4404.1225956,0
"colorado","larimer",11547,0,0,0,0,15588.45,0,0,0,0,15588.45,2631.75,6816.2061825,2.28696867181365
"colorado","lasanimas",0,0,0,0,0,0,0,0,0,0,0,4773.27,12362.7215673,0
"colorado","lincoln",0,0,0,0,0,0,0,0,0,0,0,2585.21,6695.6680479,0
"colorado","logan",0,54349,0,0,130070,0,5978.39,0,0,114461.6,120439.99,1845.31,4779.3344469,25.200159423478
"colorado","mesa",0,0,0,400185,0,0,0,0,1600.74,0,1600.74,3345.69,8665.3036431,0.184729822050106
"colorado","mineral",0,0,0,0,0,0,0,0,0,0,0,878.16,2274.4256184,0
"colorado","moffat",0,0,0,0,0,0,0,0,0,0,0,4755.86,12317.6298414,0
"colorado","montezuma",0,0,0,0,0,0,0,0,0,0,0,2035.8,5272.701642,0
"colorado","montrose",0,0,0,400185,0,0,0,0,1600.74,0,1600.74,2246.43,5818.2312357,0.275124850689681
"colorado","morgan",38232,0,0,0,118793,51613.2,0,0,0,104537.84,156151.04,1293.83,3351.0067617,46.5982467671247
"colorado","otero",0,0,0,0,45694,0,0,0,0,40210.72,40210.72,1267.66,3283.2267234,12.2473174677255
"colorado","ouray",0,0,0,0,0,0,0,0,0,0,0,542.3,1404.551577,0
"colorado","park",0,0,0,0,0,0,0,0,0,0,0,2209.36,5722.2203064,0
"colorado","phillips",13777,52408,0,0,14570,18598.95,5764.88,0,0,12821.6,37185.43,668.3,1730.890317,21.4834121115486
"colorado","pitkin",0,0,0,0,0,0,0,0,0,0,0,970.37,2513.2485963,0
"colorado","prowers",0,51008,0,0,85528,0,5610.88,0,0,75264.64,80875.52,1645.37,4261.4918463,18.978217703319
"colorado","pueblo",0,0,0,0,0,0,0,0,0,0,0,2396.77,6207.6103323,0
"colorado","rioblanco",0,0,0,0,0,0,0,0,0,0,0,3226.24,8355.9293376,0
"colorado","riogrande",0,0,0,0,0,0,0,0,0,0,0,913.1,2364.919869,0
"colorado","routt",0,0,0,0,0,0,0,0,0,0,0,2362.11,6117.8412789,0
