"X","state","county","cattle.farms","cattle.count","hog.farm","hog.count","layer.farm","layer.count","broiler.farm","broiler.count","sheep.farm","sheep.count"
134,"arkansas","montgomery",222,16337,7,-47,43,121740,8,1371500,6,202
135,"arkansas","nevada",185,19804,8,44,42,193697,30,12699448,7,500
136,"arkansas","newton",334,14933,8,56,38,770,2,-47,14,469
137,"arkansas","ouachita",79,2093,11,59,31,1287,3,1971000,10,143
138,"arkansas","perry",202,10638,13,340,41,1795,15,6510250,13,224
139,"arkansas","phillips",11,1875,7,125,4,56,NA,NA,1,-47
140,"arkansas","pike",205,19508,14,2878,48,629673,29,13431000,10,344
141,"arkansas","poinsett",41,1781,2,-47,1,-47,NA,NA,2,-47
142,"arkansas","polk",397,25736,20,-47,57,141618,48,30499248,11,144
143,"arkansas","pope",501,37793,18,5509,117,82714,53,28210818,10,290
144,"arkansas","prairie",50,5374,1,-47,15,317,6,54,13,218
145,"arkansas","pulaski",116,5687,26,513,84,2263,7,1317092,24,682
146,"arkansas","randolph",430,33536,29,145,110,1243034,51,30443400,37,2237
147,"arkansas","stfrancis",27,1292,1,-47,2,-47,NA,NA,NA,NA
148,"arkansas","saline",174,6856,12,235,61,1382,NA,NA,1,-47
149,"arkansas","scott",321,25991,1,-47,44,89398,37,37003221,17,176
150,"arkansas","searcy",392,29618,16,116,75,1093,7,-47,26,902
151,"arkansas","sebastian",371,29973,13,29,122,197175,32,17519919,11,321
152,"arkansas","sevier",285,35187,6,4906,34,101828,107,52392777,6,436
153,"arkansas","sharp",365,31502,15,190,78,226410,49,36346316,27,410
154,"arkansas","stone",303,21089,18,73,37,1531,34,14736577,11,298
155,"arkansas","union",132,9008,13,138,37,756,3,2015000,10,158
156,"arkansas","vanburen",391,18171,17,165,83,1760,9,-47,7,154
157,"arkansas","washington",1226,85208,76,4699,308,987503,121,81652276,85,1589
158,"arkansas","white",820,51780,57,497,203,-47,30,21712436,39,1032
159,"arkansas","woodruff",16,277,2,-47,3,90,NA,NA,2,-47
160,"arkansas","yell",453,36893,25,-47,83,471707,100,52787913,24,616
162,"california","alameda",135,12221,6,12,37,720,NA,NA,19,402
163,"california","alpine",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,"california","amador",184,12990,14,229,86,1941,6,-47,27,842
165,"california","butte",252,19927,31,3481,167,5141,12,482,78,2115
166,"california","calaveras",272,22889,33,486,133,3095,11,-47,56,1558
167,"california","colusa",90,22909,13,474,18,367,NA,NA,12,3894
168,"california","contracosta",87,29568,3,21,41,4801,5,270,18,2046
169,"california","delnorte",17,7047,3,-47,15,95120,NA,NA,8,112
170,"california","eldorado",248,7497,66,415,288,7659,29,1441,142,1655
171,"california","fresno",473,467508,38,5923,169,2589,37,93956101,109,41035
172,"california","glenn",206,52325,11,344,59,2702,2,-47,40,1758
173,"california","humboldt",350,59575,26,151,84,3106,9,1940,75,7689
174,"california","imperial",45,412212,5,228,6,87,NA,NA,4,-47
175,"california","inyo",25,11374,2,-47,6,-47,1,-47,3,39
176,"california","kern",402,326215,43,1704,143,-47,10,-47,58,110321
177,"california","kings",170,324887,11,76,42,1152,5,721310,11,-47
178,"california","lake",92,2888,24,-47,76,1906,NA,NA,66,-47
179,"california","lassen",185,43348,34,239,80,1856,9,167,33,6121
180,"california","losangeles",48,6364,26,169,114,2960,NA,NA,52,1319
181,"california","madera",236,195378,11,112,79,-47,12,-47,39,3096
182,"california","marin",115,22953,7,215,31,38370,10,8800,44,2869
183,"california","mariposa",203,33288,25,102,88,1792,NA,NA,44,941
184,"california","mendocino",254,14870,29,398,109,3568,13,3206,87,4902
185,"california","merced",434,593108,3,14,94,3410713,4,-47,67,18316
186,"california","modoc",196,56498,8,23,43,731,2,-47,21,2221
187,"california","mono",22,5931,1,-47,8,66,NA,NA,1,-47
188,"california","monterey",233,50420,17,210,90,4708,14,1175,40,872
189,"california","napa",103,11989,6,13,118,4487,2,-47,32,833
190,"california","nevada",147,4861,37,516,153,4282,22,471,81,5089
191,"california","orange",9,NA,5,61,13,411,NA,NA,4,109
192,"california","placer",346,12864,44,534,303,5544,15,-47,154,8924
193,"california","plumas",53,10235,14,220,46,1531,9,915,18,285
194,"california","riverside",197,25955,85,558,271,984579,13,1717,122,10545
195,"california","sacramento",262,36760,34,1296,197,6527,29,5448505,116,8884
196,"california","sanbenito",150,25449,1,-47,47,5627,7,28815,34,3661
197,"california","sanbernardino",106,99021,28,587,130,860010,11,1018,28,279
198,"california","sandiego",177,14656,80,-47,379,1094318,11,25161,70,958
199,"california","sanfrancisco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,"california","sanjoaquin",414,305344,38,1437,237,1242185,19,2701260,109,23265
201,"california","sanluisobispo",578,38139,65,548,296,9837,12,2224,109,23462
202,"california","sanmateo",44,2565,4,-47,40,2894,1,-47,12,656
203,"california","santabarbara",244,26489,18,635,98,3044,8,1100,31,862
204,"california","santaclara",157,11090,14,102,91,3796,NA,NA,51,848
205,"california","santacruz",18,1019,3,3,81,-47,2,-47,14,106
206,"california","shasta",479,17975,55,571,252,5523,23,522,101,1411
207,"california","sierra",23,6804,NA,NA,NA,NA,NA,NA,1,-47
208,"california","siskiyou",303,47198,31,387,93,2029,3,109,64,2372
209,"california","solano",122,50792,26,138,116,18994,NA,NA,74,99106
210,"california","sonoma",390,52370,82,872,328,1196304,11,-47,191,14136
211,"california","stanislaus",701,406835,36,6428,181,972924,20,50162642,98,5049
212,"california","sutter",74,3510,21,549,39,1158,3,90,20,4824
213,"california","tehama",407,41071,42,812,137,-47,1,-47,111,5654
214,"california","trinity",70,3791,23,422,33,547,6,530,12,221
215,"california","tulare",633,1080665,24,-47,118,2009,11,-47,52,-47
216,"california","tuolumne",187,15242,10,49,72,1363,13,424,33,481
217,"california","ventura",103,3453,14,127,119,5416,2,-47,42,497
218,"california","yolo",90,52995,18,695,74,26018,9,4818,62,16407
219,"california","yuba",196,14851,26,239,142,3618,6,630,96,2412
221,"colorado","adams",200,15103,45,-47,184,4021,9,455,41,795
222,"colorado","alamosa",93,10252,7,28,34,875,2,-47,12,5012
223,"colorado","arapahoe",241,7767,39,270,186,4046,11,276,28,266
224,"colorado","archuleta",139,7232,2,-47,50,1178,2,-47,11,99
225,"colorado","baca",172,37007,9,44,21,390,1,-47,7,116
226,"colorado","bent",105,25588,1,-47,8,136,5,100,13,280
227,"colorado","boulder",132,3425,15,88,181,4391,10,1018,49,1152
228,"colorado","broomfield",4,NA,NA,NA,3,45,NA,NA,1,-47
229,"colorado","chaffee",101,6387,3,10,53,932,NA,NA,7,44
230,"colorado","cheyenne",105,24274,NA,NA,3,46,2,-47,NA,NA
231,"colorado","clearcreek",4,NA,NA,NA,1,-47,NA,NA,2,-47
232,"colorado","conejos",201,19837,14,126,58,1282,NA,NA,26,8524
233,"colorado","costilla",41,3939,2,-47,4,88,NA,NA,7,501
234,"colorado","crowley",88,79842,8,14,25,562,2,-47,15,666
235,"colorado","custer",97,3244,9,48,38,634,4,112,9,50
236,"colorado","delta",464,30710,66,1004,298,7798,28,13901,60,7885
237,"colorado","denver",1,NA,NA,NA,7,75,NA,NA,1,-47
238,"colorado","dolores",59,4059,1,-47,26,350,NA,NA,6,74
239,"colorado","douglas",429,6144,21,88,260,4505,2,-47,67,1073
240,"colorado","eagle",65,5855,11,97,31,717,7,94,8,7974
241,"colorado","elbert",737,35783,88,575,458,8969,33,2105,97,1206
242,"colorado","elpaso",470,16451,96,552,360,9344,18,1124,68,943
243,"colorado","fremont",229,7706,14,44,128,2288,NA,NA,14,209
244,"colorado","garfield",200,19353,17,72,123,2874,4,170,25,8893
245,"colorado","gilpin",7,59,NA,NA,9,76,NA,NA,NA,NA
246,"colorado","grand",85,11389,8,45,39,808,NA,NA,12,135
247,"colorado","gunnison",113,16299,16,209,36,1523,3,-47,5,5904
248,"colorado","hinsdale",6,290,NA,NA,NA,NA,NA,NA,NA,NA
249,"colorado","huerfano",181,13855,12,50,56,1065,9,120,10,54
250,"colorado","jackson",68,25960,2,-47,16,250,NA,NA,5,286
251,"colorado","jefferson",106,1524,1,-47,144,2180,3,45,46,375
252,"colorado","kiowa",101,17684,4,-47,10,166,NA,NA,6,195
253,"colorado","kitcarson",202,234841,7,-47,24,458,2,-47,9,1309
254,"colorado","lake",16,745,NA,NA,NA,NA,NA,NA,NA,NA
255,"colorado","laplata",362,16202,57,287,228,6082,2,-47,70,6482
256,"colorado","larimer",459,73026,53,271,397,10786,31,-47,94,1660
257,"colorado","lasanimas",274,40618,4,22,53,-47,NA,NA,11,168
258,"colorado","lincoln",201,38046,9,120,35,719,NA,NA,5,84
259,"colorado","logan",293,224115,11,-47,74,1831,7,-47,22,2822
260,"colorado","mesa",693,27155,81,423,583,-47,28,858,101,17251
261,"colorado","mineral",9,264,NA,NA,2,-47,NA,NA,2,-47
262,"colorado","moffat",150,32937,14,113,69,1287,NA,NA,27,62347
263,"colorado","montezuma",309,15646,33,212,161,4037,5,330,69,1227
264,"colorado","montrose",380,35892,43,1090,159,464268,5,187,57,21540
265,"colorado","morgan",221,245516,31,2287,78,1403,12,4354,18,-47
266,"colorado","otero",165,52853,14,97,41,535,1,-47,15,-47
267,"colorado","ouray",49,3188,8,31,11,267,NA,NA,NA,NA
268,"colorado","park",123,7029,8,52,51,901,4,200,12,115
269,"colorado","phillips",61,26885,5,-47,14,298,1,-47,NA,NA
270,"colorado","pitkin",46,4123,3,21,14,1379,4,1260,6,229
271,"colorado","prowers",118,113535,8,-47,15,337,NA,NA,7,102
272,"colorado","pueblo",272,22799,15,126,135,1986,2,-47,23,3629
273,"colorado","rioblanco",116,21157,18,94,35,497,2,-47,22,12324
274,"colorado","riogrande",107,10733,17,224,19,330,NA,NA,14,5065
275,"colorado","routt",246,32693,35,200,133,2257,14,920,39,16270
276,"colorado","saguache",108,27353,10,28,45,-47,NA,NA,6,344
277,"colorado","sanjuan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,"colorado","sanmiguel",51,7190,6,17,9,179,1,-47,10,2294
279,"colorado","sedgwick",40,12627,5,-47,11,382,NA,NA,7,223
280,"colorado","summit",17,582,4,-47,14,163,NA,NA,6,12
281,"colorado","teller",46,1634,2,-47,37,737,3,150,9,164
282,"colorado","washington",212,70884,7,-47,29,-47,1,-47,12,1027
283,"colorado","weld",1342,545480,182,1613,853,-47,36,-47,141,129426
284,"colorado","yuma",298,255184,23,-47,57,1161,5,89,8,336
286,"connecticut","fairfield",23,287,8,94,92,4433,11,4453,34,306
287,"connecticut","hartford",91,2419,32,661,155,5415,11,7570,38,520
288,"connecticut","litchfield",201,9870,35,487,245,9323,31,9186,78,843
289,"connecticut","middlesex",52,566,20,131,108,2546,9,720,30,411
290,"connecticut","newhaven",73,1100,23,286,163,5092,13,1497,16,201
291,"connecticut","newlondon",185,12797,39,1356,175,-47,35,13603,50,668
292,"connecticut","tolland",89,9505,23,287,127,6318,14,34004,55,843
293,"connecticut","windham",162,9293,38,399,144,5156,25,152607,31,291
295,"delaware","kent",106,5299,20,1103,97,2644,129,62176017,43,848
296,"delaware","newcastle",40,1379,10,70,48,-47,8,3527430,16,287
297,"delaware","sussex",84,3415,16,1762,52,1778,451,176369472,15,153
299,"florida","alachua",630,44902,64,816,229,5815,17,1324,55,1142
300,"florida","baker",172,3684,24,326,88,1751,NA,NA,11,165
301,"florida","bay",25,735,7,20,42,835,NA,NA,3,7
302,"florida","bradford",197,7506,26,301,58,-47,NA,NA,19,160
303,"florida","brevard",136,23448,21,146,81,3011,5,451,24,484
304,"florida","broward",64,NA,6,29,67,1783,7,233,27,209
305,"florida","calhoun",53,1724,2,-47,34,515,NA,NA,12,87
306,"florida","charlotte",140,12609,22,122,37,928,3,87,7,62
307,"florida","citrus",314,10361,46,218,142,4880,14,3575,46,496
308,"florida","clay",157,6664,24,137,95,2709,6,182,16,268
309,"florida","collier",65,10033,8,37,37,664,1,-47,6,78
310,"florida","columbia",419,29392,25,169,155,-47,6,-47,35,903
311,"florida","desoto",427,65480,22,144,56,928,8,4830,5,38
312,"florida","dixie",72,3841,19,72,30,-47,NA,NA,8,94
313,"florida","duval",130,2904,6,66,54,1023,NA,NA,11,217
314,"florida","escambia",197,9675,14,72,64,1401,3,45,16,292
315,"florida","flagler",54,4917,NA,NA,12,164,NA,NA,1,-47
316,"florida","franklin",3,327,NA,NA,9,132,NA,NA,NA,NA
317,"florida","gadsden",117,4563,8,32,65,-47,NA,NA,8,132
318,"florida","gilchrist",236,37733,34,154,90,1971,8,1415,11,370
319,"florida","glades",215,64634,5,36,27,603,NA,NA,8,153
320,"florida","gulf",14,1390,NA,NA,3,82,NA,NA,1,-47
321,"florida","hamilton",121,7178,5,-47,31,450,3,4500000,9,40
322,"florida","hardee",552,71991,11,69,69,1172,NA,NA,24,508
323,"florida","hendry",181,64720,6,-47,18,-47,4,252,8,75
324,"florida","hernando",379,9372,38,256,169,3965,12,690,46,808
325,"florida","highlands",481,74469,10,122,87,1535,1,-47,30,428
326,"florida","hillsborough",957,32943,48,1114,245,6790,18,-47,72,936
327,"florida","holmes",292,12401,19,91,83,1316,2,-47,7,74
328,"florida","indianriver",180,23234,16,179,64,1372,4,60,14,247
329,"florida","jackson",337,34278,25,182,88,2740,6,1875750,18,343
330,"florida","jefferson",168,29064,22,226,78,4069,5,73,12,157
331,"florida","lafayette",126,17387,13,310,21,104504,16,13048500,5,755
332,"florida","lake",618,25550,41,450,218,-47,7,1267,28,805
333,"florida","lee",244,9946,30,207,130,4851,17,2136,23,446
334,"florida","leon",75,1936,10,259,66,1886,3,8613,14,151
335,"florida","levy",408,46261,26,127,110,3525,6,200,27,459
336,"florida","liberty",45,1220,22,47,29,632,NA,NA,1,-47
337,"florida","madison",284,26480,11,676,60,-47,8,8797000,13,435
338,"florida","manatee",331,38973,10,149,78,3938,2,-47,10,204
339,"florida","marion",1167,40796,89,403,489,11151,23,958,115,2388
340,"florida","martin",294,25376,23,72,102,2236,10,107,31,424
341,"florida","miami-dade",105,7668,22,128,262,36755,16,-47,72,1613
342,"florida","monroe",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,"florida","nassau",186,4736,41,252,85,4294,2,-47,16,269
344,"florida","okaloosa",112,2741,8,359,70,1303,NA,NA,18,384
345,"florida","okeechobee",438,157001,12,80,39,-47,10,-47,14,224
346,"florida","orange",168,16382,19,485,74,2714,11,-47,35,399
347,"florida","osceola",186,99418,16,34,38,441,2,-47,18,478
348,"florida","palmbeach",136,14545,23,183,174,5431,27,1259,39,623
349,"florida","pasco",613,34635,77,362,170,2636116,3,32,46,405
350,"florida","pinellas",7,NA,1,-47,14,914,1,-47,NA,NA
351,"florida","polk",1017,109225,58,675,188,-47,14,581,24,613
352,"florida","putnam",234,13437,25,157,82,-47,1,-47,4,82
353,"florida","stjohns",59,801,4,20,25,517,1,-47,5,162
354,"florida","stlucie",199,32357,24,184,66,1777,7,1220,20,438
355,"florida","santarosa",215,6955,43,172,159,4464,3,36,NA,NA
356,"florida","sarasota",95,14361,2,-47,44,1459,NA,NA,6,49
357,"florida","seminole",94,3943,13,91,65,1739,7,906,5,61
358,"florida","sumter",721,32985,27,272,156,-47,3,-47,30,520
359,"florida","suwannee",548,37145,48,281,141,122025,50,25329935,48,1239
360,"florida","taylor",88,3906,22,104,30,335,6,3863000,4,51
361,"florida","union",180,7438,13,166,62,1121,NA,NA,7,147
362,"florida","volusia",495,9965,74,388,258,7405,11,382,73,1190
363,"florida","wakulla",50,1118,17,77,56,2132,5,366,1,-47
364,"florida","walton",258,7000,24,327,141,22966,10,4618000,26,161
365,"florida","washington",152,9212,15,104,88,2452,NA,NA,10,137
367,"georgia","appling",124,7167,8,144,51,597265,35,18079923,15,427
368,"georgia","atkinson",72,7838,2,-47,17,44407,10,6353450,NA,NA
369,"georgia","bacon",68,7406,NA,NA,28,421852,9,3378690,2,-47
370,"georgia","baker",43,6479,1,-47,8,-47,2,-47,NA,NA
371,"georgia","baldwin",52,2060,NA,NA,5,110,NA,NA,5,68
372,"georgia","banks",226,14264,10,-47,63,533691,68,36735764,8,154
373,"georgia","barrow",113,6910,12,30,23,371,30,15154900,5,22
374,"georgia","bartow",192,18065,23,78,65,-47,30,15446214,20,251
375,"georgia","benhill",48,1597,2,-47,12,266,2,-47,NA,NA
376,"georgia","berrien",103,9419,5,-47,25,-47,8,6364000,7,128
377,"georgia","bibb",37,1041,3,15,14,334,9,3894300,1,-47
378,"georgia","bleckley",35,1384,4,12,9,158,NA,NA,1,-47
379,"georgia","brantley",71,1914,19,261,29,-47,NA,NA,4,19
380,"georgia","brooks",72,13163,9,-47,33,989,9,1750510,4,91
381,"georgia","bryan",22,992,7,62,18,1256,NA,NA,3,-47
382,"georgia","bulloch",88,5438,8,38,62,1365,10,4027114,6,36
383,"georgia","burke",142,25810,18,233,40,1014,7,4820,15,326
384,"georgia","butts",67,4007,1,-47,28,364,1,-47,4,42
385,"georgia","calhoun",36,5273,1,-47,3,145,2,-47,3,-47
386,"georgia","camden",18,368,5,18,21,559,5,99,6,40
387,"georgia","candler",58,3214,6,-47,29,55992,NA,NA,10,282
388,"georgia","carroll",402,21507,16,102,87,146490,72,48573448,12,330
389,"georgia","catoosa",112,4278,2,-47,38,962,11,7044000,5,207
390,"georgia","charlton",48,1289,2,-47,17,459,1,-47,2,-47
391,"georgia","chatham",4,254,NA,NA,5,254,NA,NA,NA,NA
392,"georgia","chattahoochee",NA,NA,NA,NA,NA,NA,2,-47,NA,NA
393,"georgia","chattooga",122,9521,9,96,20,172473,9,14784000,7,125
394,"georgia","cherokee",118,2769,16,49,47,876,3,878000,7,82
395,"georgia","clarke",23,702,5,14,12,332,1,-47,6,140
396,"georgia","clay",24,3775,1,-47,2,-47,1,-47,1,-47
397,"georgia","clayton",3,NA,NA,NA,5,102,NA,NA,NA,NA
398,"georgia","clinch",17,3934,NA,NA,1,-47,1,-47,1,-47
399,"georgia","cobb",7,57,1,-47,30,2146,3,75,2,-47
400,"georgia","coffee",128,10939,13,-47,41,-47,36,27213550,15,271
401,"georgia","colquitt",135,10809,8,365,25,210653,35,35440721,6,61
402,"georgia","columbia",44,1129,13,38,59,968,3,64,1,-47
403,"georgia","cook",74,6368,1,-47,21,501,12,7535399,3,130
404,"georgia","coweta",102,5745,6,43,57,1073,NA,NA,3,18
405,"georgia","crawford",70,2522,7,41,33,-47,19,16644054,5,114
406,"georgia","crisp",38,11534,2,-47,7,383,3,-47,2,-47
