StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_051,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_088,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_215,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_228,Category_229,Category_230,Category_231,Category_232,Category_233,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01021,18591,28974,0,57,3956,484,0,0,0,0,0,0,0,0,2877,0,1849,14,1962,0,0,0,0,0,0,0,262,780,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,2487,0,2417,0,1797,0,0,0,3,0,0,0,0,0,0,0,255853,0,791430,318445,80754,26932,29899,6112040,5271316,439958,84764,4621874,46583,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0,1793,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,18591,28974,57,5805,0,0,4726,1962,0,0
AL,01023,316,20411,0,30,197,0,0,0,0,0,0,0,0,0,2031,0,3,3,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,409,0,131,0,7,0,0,0,0,0,0,0,0,0,0,2,201836,0,585765,85964,27028,15015,23835,6706,11131618,4437296,936291,1960692,4413183,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,316,20411,30,200,0,0,2034,10,0,0
AL,01025,6049,17744,0,1728,4895,0,9768,0,0,0,0,0,0,0,916,0,368,250,865,656,0,0,0,0,0,0,0,696,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,120,0,3168,0,34,0,11,0,0,2809,0,0,14,0,0,0,0,3,346345,0,773219,87456,62367,35494,85001,17739,17040772,4841344,357353,2272288,6463728,6496,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,6049,17744,1754,5306,0,0,1310,908,0,0
AL,01027,5537,3321,0,0,1839,19,47,0,0,0,0,0,0,0,63,0,1907,2,0,0,0,0,0,0,0,0,635,3744,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,30,0,455,0,10,0,0,0,0,0,0,0,1,0,0,0,0,82,59469,0,621213,54624,16387,8016,10352,7522000,4433356,6156,49729,2894478,1587,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5537,3321,0,3758,0,0,1970,12,0,0
AL,01029,6976,4048,0,89,1235,3148,3,0,3897,0,0,0,0,0,441,0,1470,0,719,0,0,0,0,0,0,0,0,3218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,2481,0,0,0,0,0,0,0,0,0,0,0,0,195,53553,0,481992,111490,26951,6521,12357,6832551,4435949,225470,27441,2279051,1215,5342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1642,0,0,0,0,0,0,0,0,0,0,0,7013,4048,89,4347,0,0,1948,2361,0,0
AL,01031,172819,617545,0,16152,33510,8,396604,0,1578,0,0,0,0,0,802,0,333,35,6463,26152,0,0,0,0,0,0,212,19864,0,0,0,3637,0,407,0,0,0,151,0,783,0,0,739,187,0,0,436,74,8755,0,441,0,461,0,433,0,294,3196,19,0,0,0,0,487,153993,0,821171,253935,84938,34530,22857,35588,8295553,1746355,93307,3610228,1139410,186,0,439,0,0,0,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,2,0,17877,0,0,0,3,0,0,0,0,0,0,0,0,0,172912,635422,16154,33843,0,0,19107,6463,1447,0
AL,01033,645362,398508,0,12245,388610,0,4005,0,1,0,0,0,0,0,50191,0,322302,59,1162,0,0,0,0,0,0,0,17,6699,0,0,0,0,0,2680,0,0,0,127,0,0,0,0,70,0,0,0,0,0,46325,0,76853,0,44,0,0,0,0,0,0,0,0,0,0,0,753047,0,509085,493515,184708,98847,162140,6333226,1550405,381612,40648,3338364,307670,35429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3002,0,0,0,0,145,0,0,0,4442,6,0,0,0,0,0,0,0,0,0,0,645368,398508,12390,715360,0,0,372638,5604,0,0
AL,01035,69307,161434,0,6489,17835,0,60102,0,0,0,0,0,0,0,1516,0,233,2816,12241,10780,0,0,0,0,0,0,0,3505,0,0,0,0,0,0,0,0,0,584,0,0,0,0,535,0,0,0,257,17,1345,0,3,0,120,0,41,298,0,61,95,0,0,0,0,10,66017,0,614161,66635,21162,12464,39744,114898,13720804,2318091,253042,2730760,1781816,1558,0,0,0,0,0,183,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,1,0,72,0,0,0,0,0,0,0,0,0,69307,161644,6489,18069,0,0,1959,12242,183,0
AL,01037,29,9442,0,0,177,5,0,0,0,0,0,0,0,0,82,0,266,1,155,0,0,0,0,0,0,0,188,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,51,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,408973,0,515067,42635,13441,3709,10059,7032852,6497520,34744,158103,2530190,1047,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9442,0,443,0,0,348,155,0,0
AL,01039,115065,532965,0,7842,15782,0,268355,0,243,0,0,0,0,0,0,0,0,0,8895,11545,0,0,0,0,0,0,0,10283,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,3250,976,5441,0,55,0,110,0,651,0,0,18,2780,0,0,0,0,0,268785,0,1305903,165640,80272,29708,36826,172,15590005,2437663,60680,4305220,1759720,196,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7993,0,2050,0,0,0,0,0,0,0,0,0,0,0,115065,540958,7842,17832,0,0,7993,10945,398,0
AL,01041,50509,47663,0,1969,1731,221,22035,0,0,0,0,0,0,0,1470,0,0,766,3012,4396,0,0,0,0,0,0,2219,3773,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,789,177,2575,0,22,0,9,0,41,0,0,1,2,0,0,0,0,677,99518,0,555752,49480,23757,7022,9916,1219547,6184481,2867185,175691,3438117,1045407,98,0,1372,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,50509,48029,1969,1731,0,0,1836,3012,2,0
AL,01043,72112,24120,0,1596,179614,0,13,0,0,0,0,0,0,0,2173,0,19006,3,0,1814,0,316,0,0,0,0,761,1629,0,0,0,0,63,4,0,7620,0,399,0,0,0,0,0,2295,0,0,0,7,4610,0,2973,0,187,1720,0,0,0,0,522,0,0,0,0,0,493912,0,1232878,680962,201085,65023,35800,6926722,1982553,377639,2831,7216853,4570,3205,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,993,0,0,11,0,0,0,441,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,72123,24120,1596,198802,0,0,21190,182,0,0
AL,01045,46172,464299,0,3536,2392,37,464465,0,1303,0,0,0,0,0,4957,0,570,419,3258,12077,0,0,0,0,0,0,97,46206,0,0,0,4365,0,5157,0,0,0,31,0,2490,0,0,2515,144,0,0,906,0,2077,0,584,0,795,0,0,2,581,248,18,0,0,0,0,317,103017,0,691730,327971,90163,57569,25226,46448,7109470,1425724,150789,2053303,1411689,437,0,4649,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416,263,0,0,0,0,0,0,0,0,0,4836,0,0,0,69,0,0,0,0,0,0,0,0,0,47851,469135,3536,2962,0,0,11779,3521,112,0
AL,01047,212325,472566,0,8543,177189,33,60899,0,0,0,0,0,0,0,7066,0,3258,713,2363,26,0,0,0,0,0,0,3,18459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18013,0,42057,0,1,0,0,0,0,0,0,0,1903,0,0,0,0,935,587021,0,850496,194115,87459,53856,29961,1720970,8211434,2013508,159321,5319562,5478450,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4220,0,0,0,1037,0,0,0,0,0,0,0,0,0,0,0,212325,472566,12763,181484,0,0,14544,3400,0,0
AL,01049,409999,168586,0,811,257717,1055,6835,0,0,0,0,0,0,0,2160,0,68684,127,6605,15,0,0,0,0,0,0,15,39727,0,0,0,0,10660,28,0,273,0,1959,0,0,0,0,0,262,0,0,0,494,6952,0,11387,0,0,3,0,0,0,0,0,0,0,0,0,965,108931,0,1387362,390803,146672,54571,67986,7597179,1117852,587937,18141,7635511,2995,26429,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,24,0,0,410,1095,0,45,207,0,0,0,0,889,0,26,0,26284,0,0,0,0,0,0,0,0,0,0,1599,411504,168612,1700,354284,1599,0,72169,33984,0,0
AL,01051,91528,286999,0,14509,90730,248,950,0,0,0,0,0,0,0,4349,0,1941,92,444,137,0,0,0,0,0,0,605,920,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,564,0,3667,0,18,0,1,0,0,1,0,0,24,0,0,0,0,101,1002007,0,1158339,314419,122978,31295,52002,5341028,3746985,604569,57111,3634272,456128,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,91528,286999,14509,92671,0,0,6290,444,0,0
AL,01053,240017,643895,0,16034,141117,0,629078,0,0,0,0,0,0,0,8138,0,39788,0,15201,28311,0,0,0,0,0,0,0,2419,0,0,0,0,0,0,0,0,0,138,0,0,0,0,2551,0,0,0,15,0,3443,0,54,0,922,0,80,564,0,11,630,0,0,0,0,0,118110,0,864705,194742,68869,35195,106685,129,15239859,226910,112663,2456942,3466727,5449,0,0,0,0,0,8,0,1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14432,0,0,0,141,0,0,0,0,0,0,0,0,0,240017,658327,16034,180905,0,0,62358,15201,8,0
AL,01055,75563,165965,0,3227,78167,330,51,0,1,0,0,0,0,0,193,0,14530,0,222,320,0,0,0,0,0,0,0,1144,0,0,0,0,0,0,0,647,0,293,0,0,0,0,0,1404,0,0,0,2,545,0,10190,0,0,0,0,0,0,0,0,0,0,0,0,1454,386250,0,1303434,768035,224922,89697,16208,5843122,1495685,149654,1598,3568663,6728,2644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,0,0,0,76,0,0,0,0,0,0,0,0,1582,0,19,0,0,0,0,0,0,0,0,0,76955,165965,3227,94279,0,0,16115,1804,0,0
AL,01057,40331,87410,0,0,26818,0,0,0,0,0,0,0,0,0,129,0,79,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7461,0,0,0,0,0,0,0,0,0,0,0,0,0,55858,0,647417,105857,26457,13470,15297,5683752,5042173,1480249,40335,2662382,362119,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40421,87410,0,26897,0,0,298,0,0,0
AL,01059,60234,87534,0,8312,182441,0,5483,0,1,0,0,0,0,0,6060,0,24491,896,220,41,0,0,0,0,0,0,117,6543,0,0,0,0,0,285,0,67,0,168,0,0,0,0,61,0,0,0,0,253,10773,0,22906,0,586,9,0,0,0,0,0,0,0,0,0,0,325458,0,660516,243919,77550,24235,46750,7538906,2846019,207533,14423,4262695,73225,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,706,0,0,0,0,714,0,0,0,634,5,0,0,0,0,0,0,0,0,0,0,60247,87534,9026,207571,0,0,31273,854,0,0
AL,01061,236062,1060407,0,10463,15852,0,934887,0,3556,0,0,0,0,0,8853,0,142,674,1059,63844,0,0,0,0,0,0,2514,18492,0,0,0,3600,0,1878,0,0,0,907,0,4570,0,0,4030,739,0,0,2026,2291,29073,0,1118,0,1484,0,929,0,430,1045,145,0,0,0,0,0,148561,0,741970,132556,24837,10988,17263,27,5902276,42241,108951,3085633,2355135,480,0,4148,0,0,0,2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,242,0,0,0,0,0,0,0,0,0,4059,0,0,0,16,0,0,0,0,0,0,0,0,0,236979,1064466,10463,15994,0,0,13729,1301,2225,0
AL,01063,14725,31664,0,160,9433,0,26,0,0,0,0,0,0,0,226,0,2861,18,901,0,0,0,0,0,0,0,236,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3004,0,493,0,0,0,0,0,0,0,25,0,0,0,0,12004,563472,0,415989,87004,20573,6885,18626,554226,3866973,1459329,55928,3791130,6170854,4152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,15201,31664,160,12378,0,0,3563,985,0,0
AL,01065,23374,100064,0,2397,92770,0,1153,0,0,0,0,0,0,0,32,0,1590,329,354,0,0,0,0,0,0,0,792,6824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,883,0,459,0,0,0,0,0,0,0,0,0,0,0,0,10078,602999,0,519877,90040,27137,4395,13225,1439475,3162213,1820634,58455,4748117,4273477,1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,23374,100064,2397,94795,0,0,1622,789,0,0
AL,01067,71971,916192,0,8344,2164,1831,666094,0,3357,0,0,0,0,0,8930,0,1524,491,2643,24776,0,0,0,0,0,0,181,32454,0,0,0,6643,0,6664,0,0,0,5,0,3555,0,0,6617,317,0,0,1161,0,2752,0,1830,0,690,0,0,0,984,73,11,0,0,0,0,1067,210204,0,445162,194794,34477,17858,33340,145881,6431544,1693387,181134,2525004,1014178,331,0,3811,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,277,0,0,0,0,0,0,0,159,0,13065,0,133,0,390,0,0,0,0,0,0,0,0,0,73748,929257,8503,3821,0,0,25178,3053,68,0
AL,01069,65420,1283874,0,6852,5258,0,1460789,0,8835,0,0,0,0,0,14163,0,742,269,4153,32603,0,0,0,0,0,0,250,36799,0,0,0,9669,0,5197,0,0,0,1202,0,18325,0,0,5164,1331,0,0,6583,0,2213,0,3004,0,2785,0,0,817,596,317,142,0,0,0,0,0,77814,0,966311,567983,140377,115458,30714,55,4625563,70501,179321,2956337,2321129,780,0,3847,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2859,497,0,0,0,0,0,0,0,0,0,26189,0,0,0,338,0,0,0,0,0,0,0,0,0,68776,1310063,6852,6000,0,0,43953,4650,282,0
AL,01071,553417,158802,0,24632,729334,1825,210,0,0,0,0,0,0,0,12843,0,76985,259,499,3575,0,1175,0,0,0,0,953,4722,0,0,0,0,3529,232,0,480,0,253,0,0,0,0,0,0,0,0,0,0,17979,0,20434,0,373,270,0,0,0,0,296,0,0,0,0,0,1225867,0,938403,386412,125645,55359,42872,16557055,865552,679610,4702,6520555,126707,17480,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665,5920,0,0,5111,1,0,250,923,0,0,0,0,3721,0,91,0,3725,0,0,0,0,0,0,0,0,0,0,2,558529,158893,28353,810046,2,0,98751,4225,0,0
AL,01073,264,443,0,0,343,0,2,0,0,0,0,0,0,0,293,0,27,0,10,0,0,0,0,0,0,0,2,61,0,0,0,0,0,0,0,161,0,39,0,0,0,0,0,922,0,0,0,0,127,0,381,0,0,0,0,0,0,0,0,0,0,0,0,2,407071,0,4031802,2897185,1342662,566161,308566,9491547,6151311,1167324,13490,2705713,20615,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,264,443,0,403,0,0,320,43,0,0
AL,01075,12034,64072,0,15,20577,45,12882,0,38,0,0,0,0,0,9901,0,1928,0,0,0,0,0,0,0,0,0,0,1674,0,0,0,0,0,0,0,826,7,13,0,0,0,0,19,0,0,0,0,0,1551,0,949,0,0,0,0,0,0,0,182,0,0,0,0,1377,46535,0,647630,118850,24961,8804,17409,3979325,4399315,1714287,48297,2586325,1957052,4683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,12034,64100,15,22505,0,0,11857,0,0,0
AL,01077,698988,791497,0,9859,490390,0,1108,0,2845,0,0,0,0,0,33612,0,184980,0,830,3981,0,1164,0,0,0,0,1209,70366,0,0,0,0,0,6803,0,195,0,0,0,0,0,0,0,0,0,0,0,5778,101717,0,157236,0,0,52,0,0,0,0,361,0,0,0,0,0,1260877,0,844014,539063,161242,78071,113468,5947724,883352,316406,34082,5530968,255392,65326,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,1598,0,0,187,0,0,2812,4253,0,0,0,0,0,0,0,0,10265,0,0,0,0,0,0,0,0,0,0,0,699175,791497,9859,685635,0,0,218779,11095,0,0
AL,01079,939451,624697,0,24320,718529,0,10535,0,0,0,0,0,0,0,161994,0,329422,0,625,9888,0,4677,0,0,0,0,3923,23361,0,0,0,0,0,1178,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,48030,0,222775,0,27,243,0,0,0,0,278,0,0,0,0,0,658643,0,540095,324654,105822,40141,106019,6531218,1152632,271522,13040,4758803,869647,82797,0,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,2084,0,0,3602,0,0,0,3832,0,0,0,0,0,0,0,0,5751,0,0,0,0,0,0,0,0,0,0,0,943053,624697,24320,1053702,0,0,495018,6376,0,0
