st_co,CRCT_ST_CO,GEOID,DRY1997NUM,DRY1997CAL,HOG1997NUM,HOG1997CAL,BRL1997NUM,BRL1997CAL,LAY1997NUM,LAY1997CAL,ALL1997AU,COW2002NUM,COW2002CAL,DRY2002NUM,DRY2002CAL,HOG2002NUM,HOG2002CAL,BRL2002NUM,BRL2002CAL,LAY2002NUM,LAY2002CAL,ALL2002AU,COW2007NUM,COW2007CAL,DRY2007NUM,DRY2007CAL,HOG2007NUM,HOG2007CAL,BRL2007NUM,BRL2007CAL,LAY2007NUM,LAY2007CAL,ALL2007AU,COW2012NUM,COW2012CAL,DRY2012NUM,DRY2012CAL,HOG2012NUM,HOG2012CAL,BRL2012NUM,BRL2012CAL,LAY2012NUM,LAY2012CAL,ALL2012AU,COW2017FAC,COW2017NUM,COW2017CALC,DRY2017FAC,DRY2017NUM,DRY2017CAL,HOG2017FAC,HOG2017NUM,HOG2017CAL,BRL2017FAC,BRL2017NUM ,BRL2017CAL,LAY2017FAC,LAY2017NUM,LAY2017CAL,ALL2017AU
Alabama_Chilton,Alabama_Chilton,1021, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Choctaw,Alabama_Choctaw,1023, ,N, ,N,138793,Y, ,N,305.3446, ,N, ,N, ,N,414020,Y, ,N,910, ,N, ,N, ,N,555441,Y, ,N,1221,,N,,N,,N,309190,Y,,N,680,,,,,,,,,,2,326257.0603,y,,,,717.7655326
Alabama_Clarke,Alabama_Clarke,1025, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Clay,Alabama_Clay,1027, ,N, ,N,416380,Y, ,N,916.036, ,N, ,N, ,N,1242061,Y, ,N,2730, ,N, ,N, ,N,1388603,Y, ,N,3052,,N,,N,,N,2009736,Y,,N,4417,,,,,,,,,,17,2773185.012,y,,,,6101.007027
Alabama_Cleburne,Alabama_Cleburne,1029, ,N,2463,Y,1249139,Y, ,N,3019.0358, ,N, ,N, ,N,2070102,Y, ,N,4550, ,N, ,N, ,N,2221764,Y, ,N,4883,,N,,N,,N,2164331,Y,,N,4757,,,,,,,,,,23,3751956.193,y,,,,8254.303624
Alabama_Coffee,Alabama_Coffee,1031, ,N,2463,Y,4857763,Y, ,N,10958.0086, ,N,719,Y,3314,Y,7176352,Y, ,N,17109, ,N, ,N,4110,Y,6943014,Y, ,N,15711,,N,,N,,N,7729753,Y,,N,16988,,,,,,,,,,40,6525141.205,y,,,,14355.31065
Alabama_Colbert,Alabama_Colbert,1033, ,N, ,N,832759,Y, ,N,1832.0698, ,N, ,N, ,N,1104054,Y, ,N,2426, ,N, ,N,4110,Y,1527463,Y, ,N,3809,,N,,N,,N,618380,Y,,N,1359,,,,,,,,,,5,815642.6506,y,,,,1794.413831
Alabama_Conecuh,Alabama_Conecuh,1035, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N,138860,Y, ,N,305,,N,,N,,N,309190,Y,,N,680,,,,,,,,,,2,326257.0603,y,,,,717.7655326
Alabama_Coosa,Alabama_Coosa,1037, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Covington,Alabama_Covington,1039, ,N, ,N,1665519,Y, ,N,3664.1418, ,N, ,N, ,N,1932095,Y, ,N,4246,1050,Y, ,N, ,N,2221764,Y, ,N,5804,,N,,N,,N,1545951,Y,,N,3398,,,,,,,,,,18,2936313.542,y,,,,6459.889793
Alabama_Crenshaw,Alabama_Crenshaw,1041, ,N, ,N,2081898,Y, ,N,4580.1756, ,N, ,N, ,N,4416217,Y, ,N,9706, ,N, ,N, ,N,5554411,Y, ,N,12207,,N,,N,,N,6492992,Y,,N,14270,,,,,,,,,,48,7830169.446,y,,,,17226.37278
Alabama_Cullman,Alabama_Cullman,1043,756,Y, ,N,12075009,Y,389118,Y,28223.5518, ,N,719,Y, ,N,12282603,Y, ,N,27967, ,N, ,N, ,N,10414521,Y,229311,Y,23806,,N,617,Y,,N,9275703,Y,232915,Y,22152,,,,,,,,,,95,15497210.36,y,1,284590.8,y,35232.226
Alabama_Dale,Alabama_Dale,1045, ,N, ,N,1526726,Y, ,N,3358.7972, ,N, ,N, ,N,1794088,Y, ,N,3943, ,N, ,N,,N,2916066,Y, ,N,6409,,N,,N,,N,4174066,Y,,N,9174,,,,,,,,,,44,7177655.326,y,,,,15790.84172
Alabama_Dallas,Alabama_Dallas,1047, ,N, ,N,,N, ,N,0, ,N, ,N,3314,Y, ,N, ,N,365, ,N, ,N,4110,Y, ,N, ,N,452,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_DeKalb,Alabama_DeKalb,1049, ,N,23377,N,4718969,Y,389118,Y,14509.6738, ,N, ,N,61300,N,7314359,Y, ,N,22820, ,N, ,N,58840,N,7359595,Y,229311,Y,23565,,N,,N,76902,N,8502728,Y,,N,27147,,,,,,,5,17000,n,84,13702796.53,y,1,284590.8,y,33154.51557
Alabama_Elmore,Alabama_Elmore,1051, ,N,4926,Y,,N, ,N,541.86, ,N, ,N,3314,Y, ,N, ,N,365, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,154595,Y,,N,340,,,,,,,,,,1,163128.5301,y,,,,358.8827663
Alabama_Escambia,Alabama_Escambia,1053, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N, ,N,,1050,Y, ,N, ,N, ,N, ,N,921,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Etowah,Alabama_Etowah,1055, ,N, ,N,1804311,Y, ,N,3969.4842, ,N, ,N, ,N,1794088,Y,202917,Y,4755, ,N, ,N, ,N,2499485,Y, ,N,5493,,N,,N,,N,2937306,Y,,N,6456,,,,,,,,,,20,3262570.603,y,,,,7177.655326
Alabama_Fayette,Alabama_Fayette,1057, ,N, ,N,277587,Y, ,N,610.6914, ,N, ,N, ,N,690034,Y, ,N,1517, ,N, ,N, ,N,694301,Y, ,N,1526,,N,,N,,N,772975,Y,,N,1699,,,,,,,,,,4,652514.1205,y,,,,1435.531065
Alabama_Franklin,Alabama_Franklin,1059,756,Y, ,N,2498278,Y, ,N,5598.2716, ,N,719,Y,3314,Y,4968244,Y, ,N,12256, ,N, ,N,4110,Y,4304669,Y, ,N,9913,,N,,N,,N,3246496,Y,,N,7135,,,,,,,,,,33,5383241.494,y,,,,11843.13129
Alabama_Geneva,Alabama_Geneva,1061,756,Y, ,N,2637071,Y, ,N,5903.6162, ,N,719,Y, ,N,3864190,Y, ,N,9465, ,N,906,Y,4110,Y,3054926,Y, ,N,8390,,N,,N,,N,2937306,Y,,N,6456,,,,,,,,,,17,2773185.012,y,,,,6101.007027
Alabama_Greene,Alabama_Greene,1063, ,N,2463,Y,,N, ,N,270.93, ,N, ,N,6629,Y, ,N, ,N,729, ,N, ,N,4110,Y, ,N, ,N,452,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Hale,Alabama_Hale,1065, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N,,N,, ,N, ,N, ,N,138860,Y, ,N,305,,N,,N,,N,309190,Y,,N,680,,,,,,,,,,1,163128.5301,y,,,,358.8827663
Alabama_Henry,Alabama_Henry,1067, ,N, ,N,,N, ,N,0, ,N, ,N, ,N,828041,Y,,N,1820, ,N, ,N, ,N,1666323,Y, ,N,3662,,N,,N,,N,1391355,Y,,N,3058,,,,,,,,,,29,4730727.374,y,,,,10407.60022
Alabama_Houston,Alabama_Houston,1069, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N,,N,, ,N, ,N, ,N,277721,Y, ,N,610,,N,,N,,N,154595,Y,,N,340,,,,,,,,,,1,163128.5301,y,,,,358.8827663
Alabama_Jackson,Alabama_Jackson,1071, ,N,9720,N,832759,Y, ,N,2901.2698,860,Y, ,N,6629,Y,3036149,Y,,N,8156,1050,Y, ,N,9062,N,2638345,Y, ,N,7717,,N,,N,4270,Y,1700546,Y,,N,4207,,,,,,,,,,28,4567598.844,y,,,,10048.71746
Alabama_Jefferson,Alabama_Jefferson,1073, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N,,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,154595,Y,,N,340,,,,,,,,,,1,163128.5301,y,,,,358.8827663
Alabama_Lamar,Alabama_Lamar,1075, ,N, ,N,138793,Y, ,N,305.3446, ,N, ,N, ,N,138007,Y,,N,303, ,N, ,N, ,N,277721,Y, ,N,610,,N,,N,,N,154595,Y,,N,340,,,,,,,,,,1,163128.5301,y,,,,358.8827663
Alabama_Lauderdale,Alabama_Lauderdale,1077, ,N, ,N,138793,Y, ,N,305.3446, ,N, ,N, ,N,414020,Y, ,N,910, ,N, ,N, ,N,416581,Y, ,N,916,,N,,N,,N,463785,Y,,N,1019,,,,,,,,,,7,1141899.711,y,,,,2512.179364
Alabama_Lawrence,Alabama_Lawrence,1079, ,N, ,N,2220691,Y, ,N,4885.5202, ,N, ,N, ,N,3036149,Y, ,N,6673, ,N, ,N, ,N,4026948,Y, ,N,8850,,N,,N,,N,1700546,Y,,N,3737,,,,,,,,,,22,3588827.663,y,,,,7895.420858
Alabama_Lee,Alabama_Lee,1081, ,N,2463,Y,,N, ,N,270.93, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Limestone,Alabama_Limestone,1083, ,N,2463,Y,693966,Y, ,N,1797.6552, ,N, ,N, ,N,828041,Y, ,N,1820, ,N, ,N, ,N,1527463,Y, ,N,3357,,N,,N,,N,1545951,Y,,N,3398,,,,,,,,,,10,1631285.301,y,,,,3588.827663
Alabama_Lowndes,Alabama_Lowndes,1085, ,N,2463,Y,555173,Y,194559,Y,2270.5466, ,N, ,N, ,N,1518075,Y, ,N,3336,1050,Y, ,N, ,N,1944044,Y, ,N,5194,,N,,N,,N,2318926,Y,,N,5097,,,,,,,,,,13,2120670.892,y,,,,4665.475962
Alabama_Macon,Alabama_Macon,1087, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Madison,Alabama_Madison,1089, ,N,2463,Y,,N,194559,Y,1049.166, ,N, ,N, ,N,276014,Y, ,N,607, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Marengo,Alabama_Marengo,1091,756,Y, ,N,,N, ,N,102.06, ,N,719,Y, ,N, ,N, ,N,972, ,N,906,Y, ,N, ,N, ,N,1224,,N,617,Y,,N,,N,,N,834,,,,,,,,,,,,,,,,0
Alabama_Marion,Alabama_Marion,1093, ,N, ,N,416380,Y, ,N,916.036, ,N, ,N, ,N,1932095,Y, ,N,4246, ,N, ,N, ,N,2499485,Y, ,N,5493,,N,,N,,N,3710281,Y,,N,8154,,,,,,,,,,32,5220112.964,y,,,,11484.24852
Alabama_Marshall,Alabama_Marshall,1095, ,N,2463,Y,5690522,Y,972796,Y,16681.2624, ,N,719,Y, ,N,6210305,Y,811669,Y,17868, ,N, ,N,4110,Y,6526433,Y,229311,Y,15713,,N,,N,4200,N,5256232,Y,698746,Y,14809,,,,,,,,,,49,7993297.976,y,,,,17585.25555
Alabama_Mobile,Alabama_Mobile,1097, ,N,4926,Y,,N, ,N,541.86, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Monroe,Alabama_Monroe,1099, ,N, ,N,,N, ,N,0, ,N, ,N, ,N,276014,Y, ,N,607, ,N, ,N, ,N,277721,Y, ,N,610,,N,,N,,N,309190,Y,,N,680,,,,,,,,,,2,326257.0603,y,,,,717.7655326
Alabama_Montgomery,Alabama_Montgomery,1101, ,N, ,N,277587,Y,194559,Y,1388.9274, ,N, ,N, ,N,552027,Y, ,N,1213, ,N, ,N, ,N,555441,Y, ,N,1221,,N,,N,,N,772975,Y,,N,1699,,,,,,,,,,5,815642.6506,y,,,,1794.413831
Alabama_Morgan,Alabama_Morgan,1103,1511,Y, ,N,2081898,Y, ,N,4784.1606, ,N,719,Y, ,N,2622129,Y, ,N,6735, ,N,906,Y, ,N,2221764,Y, ,N,6107,,N,617,Y,,N,2164331,Y,,N,5591,,,,,,,,,,13,2120670.892,y,,,,4665.475962
Alabama_Perry,Alabama_Perry,1105, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Pickens,Alabama_Pickens,1107, ,N,17700,N,1387932,Y,194559,Y,5778.6864, ,N, ,N,31460,N,2208108,Y,202917,Y,9126, ,N, ,N,34600,N,2777206,Y, ,N,9910,,N,,N,4270,Y,3555686,Y,,N,8284,,,,,,,1,4840,y,17,2773185.012,y,,,,6633.407027
Alabama_Pike,Alabama_Pike,1109, ,N,2463,Y,2220691,Y, ,N,5156.4502, ,N, ,N, ,N,2760136,Y, ,N,6066, ,N, ,N, ,N,4721249,Y, ,N,10376,,N,,N,,N,3555686,Y,,N,7815,,,,,,,,,,26,4241341.783,y,,,,9330.951923
Alabama_Randolph,Alabama_Randolph,1111, ,N, ,N,1943105,Y,194559,Y,5053.067, ,N, ,N, ,N,2622129,Y, ,N,5763, ,N, ,N, ,N,2638345,Y, ,N,5799,,N,,N,,N,4483257,Y,,N,9853,,,,,,,,,,41,6688269.735,y,,,,14714.19342
Alabama_Russell,Alabama_Russell,1113, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,309190,Y,,N,680,,,,,,,,,,2,326257.0603,y,,,,717.7655326
Alabama_Shelby,Alabama_Shelby,1117, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_St. Clair,Alabama_StClair,1115, ,N,22550,N,2220691,Y, ,N,7366.0202, ,N, ,N,3314,Y,2484122,Y, ,N,5825, ,N, ,N,8221,Y,2777206,Y, ,N,7008,,N,,N,,N,2009736,Y,,N,4417,,,,,,,,,,14,2283799.422,y,,,,5024.358728
Alabama_Sumter,Alabama_Sumter,1119, ,N, ,N,,N, ,N,0, ,N, ,N,13100,N, ,N, ,N,1441, ,N, ,N,13440,N, ,N, ,N,1479,,N,,N,28920,N,,N,,N,3182,,,,,,,2,9680,y,,,,,,,1064.8
Alabama_Talladega,Alabama_Talladega,1121, ,N,2463,Y,693966,Y, ,N,1797.6552, ,N, ,N, ,N,828041,Y, ,N,1820, ,N, ,N, ,N,555441,Y, ,N,1221,,N,,N,,N,772975,Y,,N,1699,,,,,,,,,,5,815642.6506,y,,,,1794.413831
Alabama_Tallapoosa,Alabama_Tallapoosa,1123, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N,277721,Y, ,N,610,,N,,N,,N,309190,Y,,N,680,,,,,,,,,,4,652514.1205,y,,,,1435.531065
Alabama_Tuscaloosa,Alabama_Tuscaloosa,1125, ,N, ,N,416380,Y, ,N,916.036, ,N, ,N, ,N,414020,Y, ,N,910, ,N, ,N, ,N,555441,Y, ,N,1221,,N,,N,,N,772975,Y,,N,1699,,,,,,,,,,9,1468156.771,y,,,,3229.944897
Alabama_Walker,Alabama_Walker,1127, ,N,2463,Y,3053450,Y, ,N,6988.52, ,N, ,N, ,N,2484122,Y, ,N,5460, ,N, ,N, ,N,1527463,Y, ,N,3357,,N,,N,,N,1082165,Y,,N,2378,,,,,,,,,,15,2446927.952,y,,,,5383.241494
Alabama_Washington,Alabama_Washington,1129, ,N, ,N,277587,Y, ,N,610.6914, ,N, ,N, ,N,552027,Y, ,N,1213, ,N, ,N, ,N,833162,Y, ,N,1831,,N,,N,,N,618380,Y,,N,1359,,,,,,,,,,2,326257.0603,y,,,,717.7655326
Alabama_Wilcox,Alabama_Wilcox,1131, ,N,2463,Y,,N, ,N,270.93, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Winston,Alabama_Winston,1133, ,N, ,N,693966,Y,194559,Y,2304.9612, ,N, ,N, ,N,828041,Y, ,N,1820, ,N, ,N, ,N,694301,Y, ,N,1526,,N,,N,,N,154595,Y,,N,340,,,,,,,,,,,,,,,,0
Alaska_Aleutian Islands,Alaska_AleutiansEast,2013, ,N, ,N, ,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alaska_Anchorage,Alaska_Anchorage,2020, ,N, ,N, ,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alaska_Fairbanks,Alaska_FairbanksNorthStar,2090, ,N,1000,Y, ,N, ,N,110, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alaska_Juneau,Alaska_Juneau,2110, ,N, ,N, ,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alaska_Kenai Peninsula,Alaska_KenaiPeninsula,2122, ,N, ,N, ,N, ,N,0, ,N,,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Arizona_Apache,Arizona_Apache,4001, ,N, ,N, ,N, ,N,0, ,N,,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Arizona_Cochise,Arizona_Cochise,4003, ,N,34528,Y, ,N, ,N,3798.08, ,N,,N, ,N, ,N, ,N,, ,N,3106,Y, ,N, ,N, ,N,4197,,N,2688,Y,,N,,N,,N,3633,,,,1,4726,y,,,,,,,,,,6214.69
Arizona_Coconino,Arizona_Coconino,4005, ,N, ,N, ,N, ,N,0,,N,,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Arizona_Gila,Arizona_Gila,4007, ,N, ,N, ,N, ,N,0,,N,,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Arizona_Graham,Arizona_Graham,4009, ,N,17264,Y, ,N, ,N,1899.04,,N,,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,1,45036.5,y,,,,,,,,,,,,,39497.0105
Arizona_Greenlee,Arizona_Greenlee,4011,1370,Y, ,N, ,N, ,N,184.95,,N,1562,Y, ,N, ,N, ,N,2111, ,N,3106,Y, ,N, ,N, ,N,4197,,N,2688,Y,,N,,N,,N,3633,,,,1,4726,y,,,,,,,,,,6214.69
Arizona_La Paz,Arizona_LaPaz,4012, ,N, ,N, ,N, ,N,0,,N, ,N, ,N, ,N, ,N,, ,N,3106,Y, ,N, ,N, ,N,4197,,N,2688,Y,,N,,N,,N,3633,,,,1,4726,y,,,,,,,1,,y,6214.69
Arizona_Maricopa,Arizona_Maricopa,4013,100303,N,34528,Y, ,N,399467,Y,18936.853,47967,Y,123520,N, ,N, ,N,507454,Y,211025,73390,Y,93547,N, ,N, ,N,614133,Y,193248.8421,67956,Y,107537,Y,,N,,N,695743,Y,207714,1,45036.5,y,37,119695,n,,,,,,,1,,y,196895.9355
Arizona_Mohave,Arizona_Mohave,4015,1370,Y, ,N, ,N, ,N,184.95, ,N,1562,Y, ,N, ,N, ,N,2111, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Arizona_Navajo,Arizona_Navajo,4017, ,N,34528,Y, ,N, ,N,3798.08, ,N, ,N,1000,Y, ,N, ,N,110, ,N, ,N,1000,Y, ,N, ,N,110,,N,,N,6081,Y,,N,,N,669,,,,,,,1,,y,,,,,,,0
Arizona_Pima,Arizona_Pima,4019, ,N, ,N, ,N, ,N,0, ,N,1562,Y, ,N, ,N, ,N,2111, ,N,3106,Y, ,N, ,N, ,N,4197,,N,2688,Y,,N,,N,,N,3633,,,,,,,1,,y,,,,,,,0
Arizona_Pinal,Arizona_Pinal,4021,10233,N,17264,Y, ,N, ,N,3280.495,191867,Y,20891,N, ,N, ,N, ,N,196535,220168.8,Y,68334,Y, ,N, ,N, ,N,285473.5263,135913,Y,71100,N,,N,,N,,N,215303,3,135109.5,y,19,66117,n,,,,,,,,,,205434.8865
Arizona_Santa Cruz,Arizona_SantaCruz,4023, ,N, ,N, ,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Arizona_Yavapai,Arizona_Yavapai,4025,1370,Y, ,N, ,N, ,N,184.95, ,N,1562,Y, ,N, ,N, ,N,2111, ,N,3106,Y, ,N, ,N, ,N,4197,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Arizona_Yuma,Arizona_Yuma,4027, ,N, ,N, ,N, ,N,0,47967,Y, ,N, ,N, ,N, ,N,42076,73390,Y,3106,Y, ,N, ,N, ,N,68573.84211,67956,Y,2688,Y,,N,,N,,N,63244,1,45036.5,y,2,9452,y,,,,,,,,,,51926.3905
Arkansas_Arkansas,Arkansas_Arkansas,5001, ,N, ,N, ,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Arkansas_Ashley,Arkansas_Ashley,5003, ,N, ,N, ,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Arkansas_Baxter,Arkansas_Baxter,5005, ,N, ,N, ,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Arkansas_Benton,Arkansas_Benton,5007, ,N,65946,N,8096328,Y,598000,Y,27457.9816, ,N, ,N,9659,Y,10493146,Y,1189574,Y,28883, ,N, ,N,11103,Y,16192161,Y,722081,Y,39696,,N,,N,2107,Y,16958946,Y,1045584,Y,41687,,,,,,,1,3569.2,y,86,13446116.97,y,2,1564049.5,y,36230.26732
Arkansas_Boone,Arkansas_Boone,5009, ,N,3608,Y,1278368,Y, ,N,3209.2896, ,N, ,N, ,N,1894596,Y, ,N,4164, ,N, ,N, ,N,3016187,Y, ,N,6629,,N,,N,,N,1282609,Y,,N,2819,,,,,,,,,,7,1094451.381,y,,,,2407.793038
Arkansas_Bradley,Arkansas_Bradley,5011, ,N, ,N,284082,Y, ,N,624.9804, ,N, ,N, ,N,728691,Y, ,N,1602, ,N, ,N, ,N,1269973,Y, ,N,2791,,N,,N,,N,570049,Y,,N,1253,,,,,,,,,,2,312700.3945,y,,,,687.940868
